temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.95528444,0.82689778,0.04166423,2.10532241
1.05000000,-1.96435778,0.88197000,0.73270857,8.99012701
1.10000000,-1.96701000,0.87987278,0.52031487,4.82000028
1.15000000,-1.96980222,0.92703944,0.07759310,2.10780057
1.20000000,-1.98873889,0.99706944,0.06707790,0.00584750
1.25000000,-1.95200111,0.86415944,0.82298489,6.97030018
1.30000000,-1.93083778,0.76884444,0.24105478,1.95724580
1.35000000,-1.92649444,0.79537278,0.14734728,1.53124560
1.40000000,-1.96803000,0.99139500,0.15353840,0.01772169
1.45000000,-1.94591889,0.93645944,0.62959624,11.32624541
1.50000000,-1.93224000,0.94442667,1.05930558,7.28747343
1.55000000,-1.88860333,0.76991889,0.23816209,1.36625039
1.60000000,-1.90082778,0.86822333,0.28142452,0.70925622
1.65000000,-1.85793222,0.77713444,0.31461769,1.25264342
1.70000000,-1.89767333,0.96985278,0.34424598,0.07065900
1.75000000,-1.87465000,0.95307556,0.59299005,1.92252367
1.80000000,-1.85199556,0.93679444,0.69929354,3.89078268
1.85000000,-1.82972556,0.94019278,0.58739156,0.84651752
1.90000000,-1.80607444,0.93442389,0.60168509,0.59547239
1.95000000,-1.77781556,0.92430389,0.65969031,0.35206169
2.00000000,-1.73953444,0.90098556,0.83011187,1.35024373
2.05000000,-1.69571000,0.86936667,1.05376233,4.54765164
2.10000000,-1.64509667,0.81707500,1.16734595,12.90281984
2.15000000,-1.60056444,0.82003778,1.09624234,2.41140841
2.20000000,-1.53546667,0.75095944,1.29528681,8.97709317
2.25000000,-1.46889222,0.70839778,1.51890036,7.21442035
2.30000000,-1.39517667,0.60412222,1.37379870,27.09242900
2.35000000,-1.29674778,0.46905667,1.31560118,14.38061245
2.40000000,-1.21780556,0.33168556,1.19289608,25.59978032
2.45000000,-1.14709667,0.24387333,0.91751519,19.41456464
2.50000000,-1.10130000,0.17778889,0.82604743,11.65989081
2.55000000,-1.05574222,0.16757000,0.63623956,10.80383834
2.60000000,-1.02099222,0.14113333,0.65002196,8.68712006
2.65000000,-0.99988333,0.15169333,0.64344357,9.82542890
2.70000000,-0.96026778,0.12653167,0.59202671,7.45168418
2.75000000,-0.93107222,0.11358500,0.51653254,6.64526851
2.80000000,-0.90328000,0.10617778,0.48955806,4.99553703
2.85000000,-0.88243778,0.10370611,0.49693249,4.92126999
2.90000000,-0.85605444,0.10241944,0.43053522,4.41511527
2.95000000,-0.83848333,0.09775000,0.41147708,4.17016026
3.00000000,-0.82002222,0.09108778,0.38048800,3.57694713
3.05000000,-0.79542000,0.08896000,0.37057111,3.50315107
3.10000000,-0.77687778,0.07961722,0.35340618,2.79224087
3.15000000,-0.75844667,0.08026278,0.33954650,2.87429081
3.20000000,-0.75163333,0.08069833,0.33331121,2.77032074
3.25000000,-0.73037222,0.07225222,0.31716542,2.19222238
3.30000000,-0.71392111,0.07484111,0.29626264,2.32665682
3.35000000,-0.70189667,0.07029889,0.29111310,2.03976376
3.40000000,-0.68539778,0.06991944,0.25800598,1.95720817
3.45000000,-0.67257667,0.06627833,0.25912775,1.72898764
3.50000000,-0.65883556,0.06791333,0.25695481,1.81901945
3.55000000,-0.64836222,0.06626611,0.24406491,1.71845178
3.60000000,-0.63544889,0.06363778,0.22413558,1.57960494
3.65000000,-0.62311667,0.06196778,0.22042676,1.40063094
3.70000000,-0.61644889,0.06088556,0.22154203,1.40665924
3.75000000,-0.60164000,0.05921000,0.20360114,1.30140709
3.80000000,-0.59435222,0.05976611,0.19588896,1.27604777
3.85000000,-0.58483111,0.05716611,0.18636435,1.18103866
3.90000000,-0.57585111,0.05832722,0.18326263,1.20043090
3.95000000,-0.56531889,0.05593611,0.17521392,1.07463310
4.00000000,-0.55842889,0.05408667,0.16787811,1.01222986
