tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.25000000,0.08351272,0.99948271,0.08351272,0.02041808,5 ,true
2.25010000,0.03088279,0.90115316,0.03088279,-0.08451255,6 ,true
2.25020000,0.03425959,0.91257878,0.03425959,-0.07757979,6 ,true
2.25030000,0.03658003,0.91999000,0.03658003,-0.07284778,6 ,true
2.25040000,0.03841416,0.92559240,0.03841416,-0.06912793,6 ,true
2.25050000,0.03995968,0.93013724,0.03995968,-0.06600851,6 ,true
2.25060000,0.04131099,0.93397874,0.04131099,-0.06329308,6 ,true
2.25070000,0.04252126,0.93731446,0.04252126,-0.06087102,6 ,true
2.25080000,0.04362371,0.94026673,0.04362371,-0.05867331,6 ,true
2.25090000,0.04464059,0.94291701,0.04464059,-0.05665364,6 ,true
2.25100000,0.04558764,0.94532249,0.04558764,-0.05477934,6 ,true
2.25110000,0.04647643,0.94752499,0.04647643,-0.05302635,6 ,true
2.25120000,0.04731574,0.94955609,0.04731574,-0.05137645,6 ,true
2.25130000,0.04811241,0.95144030,0.04811241,-0.04981540,6 ,true
2.25140000,0.04887188,0.95319701,0.04887188,-0.04833191,6 ,true
2.25150000,0.04959856,0.95484188,0.04959856,-0.04691680,6 ,true
2.25160000,0.05029609,0.95638776,0.05029609,-0.04556255,6 ,true
2.25170000,0.05096748,0.95784532,0.05096748,-0.04426285,6 ,true
2.25180000,0.05161529,0.95922351,0.05161529,-0.04301243,6 ,true
2.25190000,0.05224170,0.96052996,0.05224170,-0.04180674,6 ,true
2.25200000,0.05284857,0.96177120,0.05284857,-0.04064191,6 ,true
2.25210000,0.05343752,0.96295288,0.05343752,-0.03951456,6 ,true
2.25220000,0.05400997,0.96407992,0.05400997,-0.03842177,6 ,true
2.25230000,0.05456717,0.96515663,0.05456717,-0.03736092,6 ,true
2.25240000,0.05511021,0.96618682,0.05511021,-0.03632976,6 ,true
2.25250000,0.05564006,0.96717385,0.05564006,-0.03532622,6 ,true
2.25260000,0.05615762,0.96812074,0.05615762,-0.03434851,6 ,true
2.25270000,0.05666365,0.96903018,0.05666365,-0.03339499,6 ,true
2.25280000,0.05715887,0.96990459,0.05715887,-0.03246418,6 ,true
2.25290000,0.05764391,0.97074616,0.05764391,-0.03155475,6 ,true
2.25300000,0.05811936,0.97155688,0.05811936,-0.03066551,6 ,true
2.25310000,0.05858575,0.97233855,0.05858575,-0.02979534,6 ,true
2.25320000,0.05904356,0.97309281,0.05904356,-0.02894323,6 ,true
2.25330000,0.05949323,0.97382118,0.05949323,-0.02810826,6 ,true
2.25340000,0.05993517,0.97452504,0.05993517,-0.02728959,6 ,true
2.25350000,0.06036976,0.97520565,0.06036976,-0.02648642,6 ,true
2.25360000,0.06079734,0.97586420,0.06079734,-0.02569804,6 ,true
2.25370000,0.06121824,0.97650176,0.06121824,-0.02492377,6 ,true
