tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.25000000,0.03292988,0.43591675,0.03292988,-2.68912092,13 ,true
2.25010000,0.03304010,0.43662663,0.03304010,-2.68892252,13 ,true
2.25020000,0.03314980,0.43732976,0.03314980,-2.68872543,13 ,true
2.25030000,0.03325897,0.43802625,0.03325897,-2.68852963,13 ,true
2.25040000,0.03336762,0.43871624,0.03336762,-2.68833510,13 ,true
2.25050000,0.03347578,0.43939981,0.03347578,-2.68814182,13 ,true
2.25060000,0.03358343,0.44007709,0.03358343,-2.68794977,13 ,true
2.25070000,0.03369059,0.44074819,0.03369059,-2.68775892,13 ,true
2.25080000,0.03379727,0.44141320,0.03379727,-2.68756927,13 ,true
2.25090000,0.03390348,0.44207222,0.03390348,-2.68738079,13 ,true
2.25100000,0.03400923,0.44272535,0.03400923,-2.68719346,13 ,true
2.25110000,0.03411451,0.44337270,0.03411451,-2.68700727,13 ,true
2.25120000,0.03421934,0.44401434,0.03421934,-2.68682220,13 ,true
2.25130000,0.03432373,0.44465038,0.03432373,-2.68663823,13 ,true
2.25140000,0.03442768,0.44528091,0.03442768,-2.68645535,13 ,true
2.25150000,0.03453120,0.44590600,0.03453120,-2.68627353,13 ,true
2.25160000,0.03463430,0.44652575,0.03463430,-2.68609277,13 ,true
2.25170000,0.03473698,0.44714023,0.03473698,-2.68591305,13 ,true
2.25180000,0.03483925,0.44774953,0.03483925,-2.68573435,13 ,true
2.25190000,0.03494111,0.44835373,0.03494111,-2.68555666,13 ,true
2.25200000,0.03504257,0.44895291,0.03504257,-2.68537996,13 ,true
2.25210000,0.03514364,0.44954713,0.03514364,-2.68520425,13 ,true
2.25220000,0.03524432,0.45013648,0.03524432,-2.68502950,13 ,true
2.25230000,0.03534462,0.45072102,0.03534462,-2.68485570,13 ,true
2.25240000,0.03544454,0.45130083,0.03544454,-2.68468285,13 ,true
2.25250000,0.03554409,0.45187598,0.03554409,-2.68451092,13 ,true
2.25260000,0.03564328,0.45244653,0.03564328,-2.68433991,13 ,true
2.25270000,0.03574210,0.45301254,0.03574210,-2.68416980,13 ,true
2.25280000,0.03584057,0.45357409,0.03584057,-2.68400059,13 ,true
2.25290000,0.03593869,0.45413124,0.03593869,-2.68383225,13 ,true
2.25300000,0.03603646,0.45468404,0.03603646,-2.68366478,13 ,true
2.25310000,0.03613389,0.45523256,0.03613389,-2.68349817,13 ,true
2.25320000,0.03623098,0.45577687,0.03623098,-2.68333240,13 ,true
2.25330000,0.03632774,0.45631700,0.03632774,-2.68316747,13 ,true
2.25340000,0.03642417,0.45685303,0.03642417,-2.68300336,13 ,true
2.25350000,0.03652028,0.45738501,0.03652028,-2.68284006,13 ,true
2.25360000,0.03661607,0.45791300,0.03661607,-2.68267757,13 ,true
2.25370000,0.03671154,0.45843704,0.03671154,-2.68251587,13 ,true
2.25380000,0.03680670,0.45895719,0.03680670,-2.68235496,13 ,true
2.25390000,0.03690155,0.45947350,0.03690155,-2.68219482,13 ,true
2.25400000,0.03699611,0.45998602,0.03699611,-2.68203545,13 ,true
2.25410000,0.03709036,0.46049480,0.03709036,-2.68187683,13 ,true
2.25420000,0.03718431,0.46099989,0.03718431,-2.68171896,13 ,true
2.25430000,0.03727797,0.46150133,0.03727797,-2.68156183,13 ,true
2.25440000,0.03737135,0.46199918,0.03737135,-2.68140543,13 ,true
2.25450000,0.03746444,0.46249348,0.03746444,-2.68124975,13 ,true
2.25460000,0.03755724,0.46298427,0.03755724,-2.68109478,13 ,true
2.25470000,0.03764977,0.46347160,0.03764977,-2.68094051,13 ,true
2.25480000,0.03774203,0.46395551,0.03774203,-2.68078695,13 ,true
2.25490000,0.03783401,0.46443604,0.03783401,-2.68063407,13 ,true
2.25500000,0.03792573,0.46491323,0.03792573,-2.68048187,13 ,true
2.25510000,0.03801718,0.46538713,0.03801718,-2.68033034,13 ,true
2.25520000,0.03810836,0.46585778,0.03810836,-2.68017948,13 ,true
2.25530000,0.03819929,0.46632521,0.03819929,-2.68002928,13 ,true
2.25540000,0.03828997,0.46678946,0.03828997,-2.67987973,13 ,true
2.25550000,0.03838039,0.46725058,0.03838039,-2.67973083,13 ,true
2.25560000,0.03847056,0.46770859,0.03847056,-2.67958256,13 ,true
2.25570000,0.03856048,0.46816354,0.03856048,-2.67943492,13 ,true
2.25580000,0.03865016,0.46861546,0.03865016,-2.67928790,13 ,true
2.25590000,0.03873959,0.46906438,0.03873959,-2.67914151,13 ,true
2.25600000,0.03882879,0.46951035,0.03882879,-2.67899572,13 ,true
2.25610000,0.03891775,0.46995339,0.03891775,-2.67885053,13 ,true
2.25620000,0.03900648,0.47039353,0.03900648,-2.67870595,13 ,true
2.25630000,0.03909498,0.47083082,0.03909498,-2.67856196,13 ,true
2.25640000,0.03918324,0.47126529,0.03918324,-2.67841855,13 ,true
2.25650000,0.03927129,0.47169696,0.03927129,-2.67827572,13 ,true
2.25660000,0.03935910,0.47212587,0.03935910,-2.67813346,13 ,true
2.25670000,0.03944670,0.47255204,0.03944670,-2.67799178,13 ,true
2.25680000,0.03953408,0.47297551,0.03953408,-2.67785065,13 ,true
2.25690000,0.03962124,0.47339631,0.03962124,-2.67771008,13 ,true
2.25700000,0.03970819,0.47381447,0.03970819,-2.67757007,13 ,true
2.25710000,0.03979492,0.47423002,0.03979492,-2.67743060,13 ,true
2.25720000,0.03988145,0.47464298,0.03988145,-2.67729166,13 ,true
2.25730000,0.03996776,0.47505338,0.03996776,-2.67715327,13 ,true
2.25740000,0.04005388,0.47546125,0.04005388,-2.67701540,13 ,true
2.25750000,0.04013978,0.47586662,0.04013978,-2.67687806,13 ,true
2.25760000,0.04022549,0.47626951,0.04022549,-2.67674124,13 ,true
2.25770000,0.04031100,0.47666995,0.04031100,-2.67660494,13 ,true
2.25780000,0.04039631,0.47706796,0.04039631,-2.67646914,13 ,true
2.25790000,0.04048142,0.47746358,0.04048142,-2.67633386,13 ,true
2.25800000,0.04056634,0.47785682,0.04056634,-2.67619907,13 ,true
2.25810000,0.04065107,0.47824772,0.04065107,-2.67606477,13 ,true
2.25820000,0.04073561,0.47863628,0.04073561,-2.67593097,13 ,true
2.25830000,0.04081997,0.47902255,0.04081997,-2.67579766,13 ,true
2.25840000,0.04090413,0.47940654,0.04090413,-2.67566483,13 ,true
2.25850000,0.04098812,0.47978827,0.04098812,-2.67553248,13 ,true
2.25860000,0.04107192,0.48016777,0.04107192,-2.67540060,13 ,true
2.25870000,0.04115554,0.48054506,0.04115554,-2.67526919,13 ,true
2.25880000,0.04123898,0.48092017,0.04123898,-2.67513825,13 ,true
2.25890000,0.04132224,0.48129310,0.04132224,-2.67500777,13 ,true
2.25900000,0.04140533,0.48166390,0.04140533,-2.67487774,13 ,true
2.25910000,0.04148824,0.48203257,0.04148824,-2.67474817,13 ,true
2.25920000,0.04157099,0.48239913,0.04157099,-2.67461905,13 ,true
2.25930000,0.04165356,0.48276362,0.04165356,-2.67449037,13 ,true
2.25940000,0.04173596,0.48312604,0.04173596,-2.67436214,13 ,true
2.25950000,0.04181820,0.48348643,0.04181820,-2.67423435,13 ,true
2.25960000,0.04190027,0.48384479,0.04190027,-2.67410699,13 ,true
2.25970000,0.04198217,0.48420114,0.04198217,-2.67398005,13 ,true
2.25980000,0.04206391,0.48455552,0.04206391,-2.67385355,13 ,true
2.25990000,0.04214549,0.48490793,0.04214549,-2.67372747,13 ,true
2.26000000,0.04222691,0.48525839,0.04222691,-2.67360181,13 ,true
2.26010000,0.01215536,0.27494374,0.01215536,-2.73677865,14 ,true
2.26020000,0.01373927,0.29411183,0.01373927,-2.73323196,14 ,true
2.26030000,0.01483041,0.30688735,0.01483041,-2.73081090,14 ,true
2.26040000,0.01569233,0.31673204,0.01569233,-2.72891199,14 ,true
2.26050000,0.01641732,0.32484325,0.01641732,-2.72732447,14 ,true
2.26060000,0.01704977,0.33179159,0.01704977,-2.72594719,14 ,true
2.26070000,0.01761477,0.33789790,0.01761477,-2.72472298,14 ,true
2.26080000,0.01812808,0.34336226,0.01812808,-2.72361603,14 ,true
2.26090000,0.01860029,0.34831863,0.01860029,-2.72260226,14 ,true
2.26100000,0.01903891,0.35286157,0.01903891,-2.72166463,14 ,true
2.26110000,0.01944947,0.35706050,0.01944947,-2.72079057,14 ,true
2.26120000,0.01983618,0.36096810,0.01983618,-2.71997053,14 ,true
2.26130000,0.02020234,0.36462533,0.02020234,-2.71919706,14 ,true
2.26140000,0.02055055,0.36806476,0.02055055,-2.71846423,14 ,true
2.26150000,0.02088295,0.37131274,0.02088295,-2.71776720,14 ,true
2.26160000,0.02120129,0.37439096,0.02120129,-2.71710202,14 ,true
2.26170000,0.02150703,0.37731744,0.02150703,-2.71646538,14 ,true
2.26180000,0.02180141,0.38010739,0.02180141,-2.71585448,14 ,true
2.26190000,0.02208548,0.38277375,0.02208548,-2.71526693,14 ,true
2.26200000,0.02236014,0.38532765,0.02236014,-2.71470069,14 ,true
2.26210000,0.02262618,0.38777870,0.02262618,-2.71415396,14 ,true
2.26220000,0.02288430,0.39013530,0.02288430,-2.71362521,14 ,true
2.26230000,0.02313508,0.39240482,0.02313508,-2.71311306,14 ,true
2.26240000,0.02337908,0.39459378,0.02337908,-2.71261631,14 ,true
2.26250000,0.02361676,0.39670795,0.02361676,-2.71213387,14 ,true
2.26260000,0.02384855,0.39875250,0.02384855,-2.71166479,14 ,true
2.26270000,0.02407483,0.40073204,0.02407483,-2.71120820,14 ,true
2.26280000,0.02429595,0.40265075,0.02429595,-2.71076332,14 ,true
2.26290000,0.02451222,0.40451238,0.02451222,-2.71032946,14 ,true
2.26300000,0.02472391,0.40632035,0.02472391,-2.70990596,14 ,true
2.26310000,0.02493129,0.40807777,0.02493129,-2.70949226,14 ,true
2.26320000,0.02513460,0.40978748,0.02513460,-2.70908781,14 ,true
2.26330000,0.02533404,0.41145206,0.02533404,-2.70869213,14 ,true
2.26340000,0.02552983,0.41307391,0.02552983,-2.70830477,14 ,true
2.26350000,0.02572213,0.41465521,0.02572213,-2.70792531,14 ,true
2.26360000,0.02591113,0.41619801,0.02591113,-2.70755338,14 ,true
