tc,beta,r_squared,slope,intercept,fit_points,is_valid
1.36000000,-0.03635407,0.03405415,-0.03635407,-1.27128680,5 ,false
1.36010000,0.02942288,0.36224076,0.02942288,-1.14020406,6 ,true
1.36020000,0.03215127,0.35592944,0.03215127,-1.13512231,6 ,true
1.36030000,0.03397711,0.35150317,0.03397711,-1.13175389,6 ,true
1.36040000,0.03539277,0.34795857,0.03539277,-1.12916247,6 ,true
1.36050000,0.03656719,0.34494330,0.03656719,-1.12702741,6 ,true
1.36060000,0.03758045,0.34228761,0.03758045,-1.12519696,6 ,true
1.36070000,0.03847736,0.33989520,0.03847736,-1.12358623,6 ,true
1.36080000,0.03928579,0.33770560,0.03928579,-1.12214253,6 ,true
1.36090000,0.04002432,0.33567800,0.04002432,-1.12083069,6 ,true
1.36100000,0.04070604,0.33378348,0.04070604,-1.11962599,6 ,true
1.36110000,0.04134054,0.33200065,0.04134054,-1.11851030,6 ,true
1.36120000,0.04193509,0.33031322,0.04193509,-1.11746993,6 ,true
1.36130000,0.04249531,0.32870844,0.04249531,-1.11649424,6 ,true
1.36140000,0.04302568,0.32717615,0.04302568,-1.11557479,6 ,true
1.36150000,0.04352982,0.32570806,0.04352982,-1.11470476,6 ,true
1.36160000,0.04401069,0.32429736,0.04401069,-1.11387854,6 ,true
1.36170000,0.04447076,0.32293834,0.04447076,-1.11309150,6 ,true
1.36180000,0.04491211,0.32162616,0.04491211,-1.11233970,6 ,true
1.36190000,0.04533650,0.32035670,0.04533650,-1.11161983,6 ,true
1.36200000,0.04574546,0.31912640,0.04574546,-1.11092902,6 ,true
1.36210000,0.04614029,0.31793217,0.04614029,-1.11026480,6 ,true
1.36220000,0.04652213,0.31677130,0.04652213,-1.10962501,6 ,true
1.36230000,0.04689200,0.31564140,0.04689200,-1.10900777,6 ,true
1.36240000,0.04725078,0.31454035,0.04725078,-1.10841140,6 ,true
1.36250000,0.04759924,0.31346628,0.04759924,-1.10783443,6 ,true
1.36260000,0.04793811,0.31241750,0.04793811,-1.10727553,6 ,true
1.36270000,0.04826799,0.31139248,0.04826799,-1.10673352,6 ,true
1.36280000,0.04858947,0.31038985,0.04858947,-1.10620733,6 ,true
1.36290000,0.04890305,0.30940837,0.04890305,-1.10569599,6 ,true
1.36300000,0.04920919,0.30844690,0.04920919,-1.10519865,6 ,true
1.36310000,0.04950832,0.30750442,0.04950832,-1.10471449,6 ,true
1.36320000,0.04980083,0.30657997,0.04980083,-1.10424280,6 ,true
1.36330000,0.05008706,0.30567268,0.05008706,-1.10378290,6 ,true
1.36340000,0.05036734,0.30478175,0.05036734,-1.10333420,6 ,true
1.36350000,0.05064197,0.30390643,0.05064197,-1.10289612,6 ,true
1.36360000,0.05091122,0.30304605,0.05091122,-1.10246815,6 ,true
1.36370000,0.05117535,0.30219996,0.05117535,-1.10204981,6 ,true
