temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
0.01000000,-1.61657667,0.28789933,2.14200000,21.23551849
0.06000000,-1.61969111,0.29613467,0.20590123,4.65442736
0.11000000,-1.61814711,0.30183289,0.96424287,3.06391943
0.16000000,-1.61431622,0.28258922,0.21797420,3.15459425
0.21000000,-1.61672956,0.26151900,0.04866626,1.39304521
0.26000000,-1.60824133,0.24211967,0.19932689,2.77082811
0.31000000,-1.61337556,0.24675478,0.05819481,1.04875282
0.36000000,-1.60953156,0.25981778,0.04813826,1.63727070
0.41000000,-1.61217267,0.29746444,0.04260535,0.84417908
0.46000000,-1.62623022,0.32412544,0.04884696,0.92228825
0.51000000,-1.62318378,0.26573889,0.08281290,1.36238757
0.56000000,-1.63528222,0.39064233,0.10162002,1.47339774
0.61000000,-1.63727933,0.35979356,0.09086150,1.55221391
0.66000000,-1.62751822,0.33166456,0.11278964,2.52039901
0.71000000,-1.62835067,0.28580444,0.11327074,2.28344931
0.76000000,-1.63764156,0.40548189,0.14997930,2.86125040
0.81000000,-1.63440689,0.39288744,0.20322498,4.54441855
0.86000000,-1.62982067,0.43276944,0.12761793,1.83368046
0.91000000,-1.61871133,0.45511967,0.16556847,2.21852637
0.96000000,-1.61700467,0.36091333,0.16473830,2.97584941
1.01000000,-1.61931178,0.42915611,0.17542744,2.07279754
1.06000000,-1.60874022,0.44031244,0.22847899,4.73507546
1.11000000,-1.59783467,0.44073722,0.23708669,3.60692498
1.16000000,-1.59593289,0.54534833,0.24212185,2.35765376
1.21000000,-1.59390044,0.60167978,0.28307416,3.55694710
1.26000000,-1.57327400,0.53957444,0.32614485,4.45661163
1.31000000,-1.57040067,0.65388689,0.33627645,2.50647360
1.36000000,-1.54981489,0.64822600,0.41789790,5.93791789
1.41000000,-1.53691867,0.62606833,0.41136264,4.70006215
1.46000000,-1.50937733,0.58997556,0.47074818,4.75160025
1.51000000,-1.49250289,0.63682600,0.52820444,4.68703922
1.56000000,-1.46343156,0.59085811,0.57308452,5.95425428
1.61000000,-1.41991422,0.45872778,0.60216318,10.84851574
1.66000000,-1.40706311,0.56484022,0.68764952,9.67457433
1.71000000,-1.35542867,0.34825200,0.65590590,11.50889360
1.76000000,-1.31752133,0.37658089,0.68848514,16.36304933
1.81000000,-1.27791822,0.30733867,0.73144261,22.81758871
1.86000000,-1.24253200,0.24778744,0.71446466,19.64151527
1.91000000,-1.21140067,0.24717678,0.67938593,16.63925514
1.96000000,-1.16927200,0.18592722,0.64219346,14.91206043
2.01000000,-1.14466000,0.18519433,0.64944466,17.08434365
2.06000000,-1.11158622,0.15594200,0.62589387,12.64733472
2.11000000,-1.07844378,0.13731389,0.59348366,9.96345427
2.16000000,-1.04759578,0.12470278,0.55470522,9.10137723
2.21000000,-1.01955711,0.11966444,0.53053435,8.33250379
2.26000000,-0.99568689,0.11122667,0.51369565,7.27088948
2.31000000,-0.97078022,0.10251733,0.49799227,6.09904835
2.36000000,-0.94640578,0.10070511,0.47341756,5.57708423
2.41000000,-0.92127378,0.09372100,0.44801790,4.84293787
2.46000000,-0.90316933,0.08513744,0.43212552,4.03678116
2.51000000,-0.88099533,0.08435956,0.41791325,3.79622400
2.56000000,-0.86066756,0.08056589,0.39126142,3.44998174
2.61000000,-0.84075622,0.07845689,0.37425347,3.19111857
2.66000000,-0.82146800,0.07715178,0.35474948,3.09513428
2.71000000,-0.80363778,0.07415522,0.34373873,2.76170066
2.76000000,-0.78957022,0.07140967,0.34136484,2.55117130
2.81000000,-0.77150689,0.06955878,0.31560279,2.38008562
2.86000000,-0.75575378,0.06607311,0.29679204,2.12498514
2.91000000,-0.74081267,0.06490644,0.28601289,2.02195270
2.96000000,-0.72762756,0.06502678,0.28553264,1.96389115
3.01000000,-0.71446000,0.06070011,0.27384319,1.71106510
3.06000000,-0.70004933,0.06109656,0.25536690,1.71121389
3.11000000,-0.68613444,0.05846378,0.24945999,1.53296258
3.16000000,-0.67571644,0.05888278,0.24270288,1.54022181
3.21000000,-0.66510822,0.05858800,0.23139582,1.49628355
3.26000000,-0.65172000,0.05524378,0.21896479,1.30980735
3.31000000,-0.64181489,0.05504033,0.21589230,1.27659236
3.36000000,-0.63087422,0.05353433,0.21445279,1.19657202
3.41000000,-0.62152356,0.05337000,0.20810591,1.15905269
3.46000000,-0.61182511,0.05321011,0.20134382,1.13822460
3.51000000,-0.60301933,0.05220578,0.19007204,1.09280633
3.56000000,-0.59068200,0.05048889,0.18338645,1.00048172
3.61000000,-0.58257356,0.05035956,0.17908537,0.98138410
3.66000000,-0.57478800,0.04957178,0.17213002,0.94465152
