tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.25000000,0.05830440,0.67725961,0.05830440,-2.45992042,13 ,true
2.25010000,0.05848014,0.67791212,0.05848014,-2.45961418,13 ,true
2.25020000,0.05865501,0.67855746,0.05865501,-2.45931003,13 ,true
2.25030000,0.05882902,0.67919577,0.05882902,-2.45900793,13 ,true
2.25040000,0.05900219,0.67982719,0.05900219,-2.45870786,13 ,true
2.25050000,0.05917454,0.68045185,0.05917454,-2.45840978,13 ,true
2.25060000,0.05934607,0.68106987,0.05934607,-2.45811365,13 ,true
2.25070000,0.05951680,0.68168137,0.05951680,-2.45781944,13 ,true
2.25080000,0.05968674,0.68228648,0.05968674,-2.45752713,13 ,true
2.25090000,0.05985591,0.68288531,0.05985591,-2.45723668,13 ,true
2.25100000,0.06002432,0.68347797,0.06002432,-2.45694806,13 ,true
2.25110000,0.06019199,0.68406458,0.06019199,-2.45666124,13 ,true
2.25120000,0.06035891,0.68464524,0.06035891,-2.45637620,13 ,true
2.25130000,0.06052512,0.68522006,0.06052512,-2.45609290,13 ,true
2.25140000,0.06069061,0.68578914,0.06069061,-2.45581132,13 ,true
2.25150000,0.06085540,0.68635258,0.06085540,-2.45553144,13 ,true
2.25160000,0.06101950,0.68691047,0.06101950,-2.45525322,13 ,true
2.25170000,0.06118293,0.68746291,0.06118293,-2.45497665,13 ,true
2.25180000,0.06134568,0.68801000,0.06134568,-2.45470170,13 ,true
2.25190000,0.06150778,0.68855182,0.06150778,-2.45442833,13 ,true
2.25200000,0.06166923,0.68908846,0.06166923,-2.45415654,13 ,true
2.25210000,0.06183004,0.68962000,0.06183004,-2.45388630,13 ,true
2.25220000,0.06199022,0.69014654,0.06199022,-2.45361759,13 ,true
2.25230000,0.06214978,0.69066815,0.06214978,-2.45335037,13 ,true
2.25240000,0.06230873,0.69118491,0.06230873,-2.45308464,13 ,true
2.25250000,0.06246708,0.69169690,0.06246708,-2.45282038,13 ,true
2.25260000,0.06262484,0.69220420,0.06262484,-2.45255755,13 ,true
2.25270000,0.06278201,0.69270687,0.06278201,-2.45229615,13 ,true
2.25280000,0.06293861,0.69320500,0.06293861,-2.45203614,13 ,true
2.25290000,0.06309463,0.69369866,0.06309463,-2.45177752,13 ,true
2.25300000,0.06325010,0.69418790,0.06325010,-2.45152027,13 ,true
2.25310000,0.06340502,0.69467281,0.06340502,-2.45126436,13 ,true
2.25320000,0.06355939,0.69515345,0.06355939,-2.45100978,13 ,true
2.25330000,0.06371323,0.69562988,0.06371323,-2.45075651,13 ,true
2.25340000,0.06386654,0.69610216,0.06386654,-2.45050453,13 ,true
2.25350000,0.06401932,0.69657037,0.06401932,-2.45025383,13 ,true
2.25360000,0.06417159,0.69703455,0.06417159,-2.45000439,13 ,true
2.25370000,0.06432336,0.69749478,0.06432336,-2.44975620,13 ,true
2.25380000,0.06447462,0.69795110,0.06447462,-2.44950923,13 ,true
2.25390000,0.06462538,0.69840357,0.06462538,-2.44926347,13 ,true
2.25400000,0.06477566,0.69885225,0.06477566,-2.44901892,13 ,true
2.25410000,0.06492545,0.69929720,0.06492545,-2.44877554,13 ,true
2.25420000,0.06507477,0.69973847,0.06507477,-2.44853334,13 ,true
2.25430000,0.06522362,0.70017611,0.06522362,-2.44829229,13 ,true
2.25440000,0.06537201,0.70061017,0.06537201,-2.44805238,13 ,true
2.25450000,0.06551994,0.70104070,0.06551994,-2.44781359,13 ,true
2.25460000,0.06566741,0.70146775,0.06566741,-2.44757592,13 ,true
2.25470000,0.06581444,0.70189137,0.06581444,-2.44733934,13 ,true
2.25480000,0.06596103,0.70231161,0.06596103,-2.44710386,13 ,true
2.25490000,0.06610719,0.70272852,0.06610719,-2.44686945,13 ,true
2.25500000,0.06625291,0.70314213,0.06625291,-2.44663609,13 ,true
