temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.30975222,0.01618056,0.28375350,0.31258157
1.05000000,-1.28679556,0.01927222,0.29767851,0.29413652
1.10000000,-1.27182333,0.01996167,0.33817817,0.31813547
1.15000000,-1.23829000,0.01837556,0.34562642,0.30332145
1.20000000,-1.22497444,0.01811944,0.40250315,0.33609726
1.25000000,-1.21829556,0.01869722,0.40264731,0.31889420
1.30000000,-1.19698556,0.01939722,0.39239240,0.38250873
1.35000000,-1.16704667,0.01880333,0.42006876,0.31269679
1.40000000,-1.14938556,0.01906500,0.39139011,0.34019787
1.45000000,-1.14253111,0.01969389,0.43636267,0.33567816
1.50000000,-1.10580000,0.02082333,0.40642938,0.35831753
1.55000000,-1.09145111,0.01953444,0.40319312,0.33989131
1.60000000,-1.06945000,0.01976222,0.40141523,0.33003123
1.65000000,-1.04673333,0.01942278,0.39646840,0.31167572
1.70000000,-1.02908222,0.01992944,0.38987405,0.32156136
1.75000000,-1.01261667,0.02011389,0.38742459,0.31638738
1.80000000,-0.98779333,0.01987944,0.39695860,0.30698584
1.85000000,-0.96945889,0.02021722,0.36921732,0.30972087
1.90000000,-0.95214889,0.01994944,0.37146983,0.28948322
1.95000000,-0.93760111,0.02080000,0.36283468,0.30832791
2.00000000,-0.91443000,0.02051167,0.39407370,0.29653675
2.05000000,-0.89465000,0.02088778,0.34218783,0.29906118
2.10000000,-0.87689667,0.02080333,0.33186212,0.28705015
2.15000000,-0.85694222,0.02046389,0.31613145,0.27599114
2.20000000,-0.84140000,0.02075056,0.30088096,0.27485431
2.25000000,-0.82855556,0.02153333,0.31338509,0.28387912
2.30000000,-0.81529444,0.02131556,0.29215619,0.28124271
2.35000000,-0.80057778,0.02082111,0.29596219,0.25978632
2.40000000,-0.78435222,0.02159778,0.27016335,0.26788275
2.45000000,-0.76810778,0.02143000,0.27402652,0.26245942
2.50000000,-0.75656444,0.02088611,0.26260254,0.24817414
2.55000000,-0.74113444,0.02156333,0.26783007,0.25486783
2.60000000,-0.73229000,0.02098278,0.25368302,0.24027292
2.65000000,-0.71917556,0.02111722,0.24913621,0.23852015
2.70000000,-0.70688667,0.02122111,0.22174542,0.23982734
2.75000000,-0.69905889,0.02144444,0.22843557,0.23344557
2.80000000,-0.68413000,0.02153056,0.22462785,0.23069208
2.85000000,-0.67100778,0.02156611,0.20729366,0.22945964
2.90000000,-0.66295778,0.02159389,0.21022033,0.23109683
2.95000000,-0.65325889,0.02219444,0.19876329,0.23330637
3.00000000,-0.64332889,0.02227333,0.18651368,0.23017635
3.05000000,-0.63432667,0.02196667,0.18846895,0.22401801
3.10000000,-0.62359111,0.02239556,0.19032223,0.22994984
3.15000000,-0.61735778,0.02179222,0.18673452,0.21294911
3.20000000,-0.60459111,0.02274944,0.17991211,0.22784104
3.25000000,-0.59766444,0.02289556,0.16328507,0.22894148
3.30000000,-0.58733000,0.02220000,0.16919727,0.20845478
3.35000000,-0.58187556,0.02261778,0.16066399,0.21365390
3.40000000,-0.57383444,0.02200556,0.15541101,0.19888176
3.45000000,-0.56503889,0.02246222,0.15400003,0.20421045
3.50000000,-0.55580111,0.02275111,0.15394074,0.20784848
3.55000000,-0.54833222,0.02286889,0.14397159,0.20568328
3.60000000,-0.54241222,0.02215333,0.13679590,0.19412820
3.65000000,-0.53599667,0.02325333,0.13741374,0.20699213
3.70000000,-0.52905222,0.02288778,0.13113749,0.19740601
3.75000000,-0.52161333,0.02310833,0.12958760,0.19968056
3.80000000,-0.51314222,0.02270944,0.12408710,0.19284822
3.85000000,-0.50929222,0.02297667,0.12706834,0.19249718
3.90000000,-0.50096444,0.02283056,0.12104354,0.18680810
3.95000000,-0.49556556,0.02301500,0.11993426,0.18465268
4.00000000,-0.48840444,0.02296722,0.11508314,0.18484559
