temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.41636222,0.15961722,0.24438004,2.90529381
1.05000000,-1.40269000,0.16280389,0.25843996,2.13681405
1.10000000,-1.38669889,0.16987500,0.33800206,3.00950327
1.15000000,-1.36859667,0.15538278,0.33335553,3.28832264
1.20000000,-1.36446444,0.15049889,0.33459223,4.58729724
1.25000000,-1.33617222,0.14304333,0.36625030,3.12602602
1.30000000,-1.32074333,0.16870722,0.39680485,4.92011766
1.35000000,-1.30360333,0.14003111,0.39338264,5.20491923
1.40000000,-1.28647444,0.13732333,0.48003450,6.18028443
1.45000000,-1.26100222,0.15797833,0.45636875,4.51041531
1.50000000,-1.22829333,0.12325778,0.45796911,5.28832703
1.55000000,-1.20907778,0.11513556,0.50024327,4.72607699
1.60000000,-1.17539000,0.10708556,0.49537264,6.85535530
1.65000000,-1.15479000,0.11209167,0.44768201,5.52477039
1.70000000,-1.13343222,0.09640722,0.48106681,6.67096840
1.75000000,-1.10306333,0.09036167,0.46070927,5.27385431
1.80000000,-1.08093444,0.09251389,0.46447750,5.39399093
1.85000000,-1.05889444,0.08951556,0.47657868,4.64304957
1.90000000,-1.03594000,0.08629556,0.47116022,3.59359724
1.95000000,-1.00417778,0.06901056,0.44203181,3.25189032
2.00000000,-0.99025556,0.07508333,0.43494722,3.62015233
2.05000000,-0.96979333,0.08117778,0.40741526,4.02945491
2.10000000,-0.94402889,0.07244389,0.37464913,3.44401435
2.15000000,-0.92583111,0.06809222,0.40134587,2.79599014
2.20000000,-0.90569889,0.06763500,0.39066280,2.71664854
2.25000000,-0.88515000,0.06139500,0.36612226,2.14649164
2.30000000,-0.87678333,0.06947167,0.35738003,2.77309033
2.35000000,-0.84909333,0.06263444,0.36800585,2.22291837
2.40000000,-0.84031889,0.06068000,0.33063206,2.12296163
2.45000000,-0.81945667,0.05869611,0.32322154,1.94250950
2.50000000,-0.80468333,0.05800000,0.30978903,1.80705612
2.55000000,-0.78455444,0.05445000,0.29720808,1.61378316
2.60000000,-0.77054667,0.05465833,0.28645985,1.61219246
2.65000000,-0.75877667,0.05271278,0.28560975,1.47318218
2.70000000,-0.73864667,0.05274667,0.26074183,1.39276546
2.75000000,-0.73027667,0.05334389,0.27096806,1.42256501
2.80000000,-0.71579111,0.05197556,0.24486055,1.33359951
2.85000000,-0.70592222,0.04923278,0.24264652,1.17414073
2.90000000,-0.69614889,0.04993389,0.22755271,1.16510124
2.95000000,-0.68329778,0.04909444,0.23810516,1.13539056
3.00000000,-0.67311889,0.04752000,0.22348915,1.05373440
3.05000000,-0.65740111,0.04761944,0.21489182,1.00273445
3.10000000,-0.65010778,0.04700667,0.21484982,0.98551097
3.15000000,-0.63595333,0.04587722,0.19740127,0.91529204
3.20000000,-0.62843667,0.04551778,0.19994929,0.90132670
3.25000000,-0.61757778,0.04565333,0.20242841,0.91483253
3.30000000,-0.61042333,0.04608667,0.19658847,0.89584701
3.35000000,-0.60205778,0.04574778,0.18138447,0.87007668
3.40000000,-0.59255222,0.04343722,0.17681987,0.78977559
3.45000000,-0.58354333,0.04387556,0.17284706,0.78335105
3.50000000,-0.57373444,0.04263222,0.16809621,0.71493826
3.55000000,-0.56602444,0.04364722,0.16003280,0.76454282
3.60000000,-0.55891111,0.04284833,0.15466563,0.72366114
3.65000000,-0.55171556,0.04233444,0.15581582,0.69277683
3.70000000,-0.54531222,0.04311389,0.15263256,0.71133133
3.75000000,-0.53699556,0.04241944,0.14380341,0.67937423
3.80000000,-0.52913556,0.04153611,0.13947728,0.64045519
3.85000000,-0.52212889,0.03999167,0.12997480,0.58860053
3.90000000,-0.51367111,0.04129722,0.13459596,0.61620007
3.95000000,-0.50821000,0.04010611,0.12737748,0.57054233
4.00000000,-0.50191778,0.04062222,0.12528805,0.58346572
