temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.35900556,0.12508389,0.27554716,1.65815341
1.05000000,-1.33500000,0.10826778,0.30412474,2.27956098
1.10000000,-1.32296556,0.12534722,0.31387395,1.94907388
1.15000000,-1.30895222,0.07629444,0.35669439,2.54181063
1.20000000,-1.28253333,0.08568611,0.34929277,3.08268375
1.25000000,-1.26385667,0.08408222,0.36496663,2.63145015
1.30000000,-1.23162667,0.08672944,0.39117714,3.72556956
1.35000000,-1.21924333,0.06273111,0.43316988,2.49755367
1.40000000,-1.21583778,0.06189500,0.42122118,2.21248561
1.45000000,-1.16955000,0.07403500,0.40739586,3.21270658
1.50000000,-1.16140778,0.07781278,0.43307282,4.77355994
1.55000000,-1.14005889,0.06710833,0.44376271,2.59433793
1.60000000,-1.11379111,0.07008333,0.45708119,3.73831571
1.65000000,-1.08083222,0.06709111,0.42737856,3.04308139
1.70000000,-1.06791556,0.07116944,0.43362290,3.41573744
1.75000000,-1.04492333,0.05836833,0.42113777,2.47603964
1.80000000,-1.02055556,0.06327500,0.40170252,2.45574418
1.85000000,-0.99871111,0.05922111,0.44174496,2.34246358
1.90000000,-0.98152556,0.05735222,0.41569699,2.31911859
1.95000000,-0.96353444,0.05067222,0.39645809,1.83001059
2.00000000,-0.94594000,0.05701944,0.38180085,2.11961928
2.05000000,-0.92212333,0.05377722,0.39380438,1.87090902
2.10000000,-0.90353444,0.05597722,0.35805351,2.03254058
2.15000000,-0.88498333,0.04966056,0.35289476,1.61319202
2.20000000,-0.86514667,0.05400444,0.34112264,1.77092194
2.25000000,-0.85831889,0.04959000,0.33431111,1.52019545
2.30000000,-0.83699667,0.04814278,0.30781470,1.37994302
2.35000000,-0.82191333,0.04588944,0.30498184,1.25828959
2.40000000,-0.80646333,0.04905611,0.30724423,1.39408659
2.45000000,-0.79068556,0.04649278,0.29536374,1.22593497
2.50000000,-0.77728667,0.04559111,0.27198013,1.15411187
2.55000000,-0.76338556,0.04519333,0.27469525,1.14968377
2.60000000,-0.75297778,0.04587056,0.26930953,1.13201622
2.65000000,-0.74029333,0.04714333,0.25581612,1.13076305
2.70000000,-0.72203444,0.04491056,0.25218409,1.01368864
2.75000000,-0.70985333,0.04517056,0.23645659,1.03421276
2.80000000,-0.69547333,0.04070500,0.23725173,0.83428433
2.85000000,-0.68751444,0.04202056,0.22810686,0.86586698
2.90000000,-0.67348889,0.04373111,0.21786435,0.90776150
2.95000000,-0.66475333,0.04268333,0.22478955,0.85519474
3.00000000,-0.65321222,0.04339111,0.22066768,0.86346049
3.05000000,-0.64527556,0.04221944,0.20513696,0.81403965
3.10000000,-0.63539333,0.04146500,0.18277862,0.76182720
3.15000000,-0.62349333,0.04077889,0.18374705,0.74615240
3.20000000,-0.61786111,0.04011500,0.18575893,0.69168459
3.25000000,-0.60762556,0.04131111,0.17109402,0.73017911
3.30000000,-0.59828333,0.04051222,0.17417378,0.68831294
3.35000000,-0.58891556,0.04069833,0.16468406,0.68813194
3.40000000,-0.58099889,0.03960500,0.16564622,0.64244378
3.45000000,-0.57219000,0.03917722,0.16843201,0.62543570
3.50000000,-0.56470778,0.03822444,0.15041052,0.58800900
3.55000000,-0.55561444,0.03835611,0.15041380,0.57460170
3.60000000,-0.54977333,0.03930556,0.15057604,0.59291319
3.65000000,-0.54381000,0.03796611,0.14189093,0.54525060
3.70000000,-0.53470556,0.03811500,0.13997808,0.55408316
3.75000000,-0.52820111,0.03688944,0.13434450,0.50980007
3.80000000,-0.52215000,0.03627333,0.13531959,0.49563182
3.85000000,-0.51603222,0.03688056,0.12875564,0.49368681
3.90000000,-0.50888889,0.03641389,0.12547233,0.48342956
3.95000000,-0.50028444,0.03766667,0.12544480,0.50754827
4.00000000,-0.49653778,0.03757444,0.12153308,0.49843233
