temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.28957667,0.02846222,0.32336052,0.90276810
1.05000000,-1.27782333,0.02549778,0.32758294,0.71464094
1.10000000,-1.27086111,0.02842278,0.34745316,0.79458163
1.15000000,-1.25895889,0.03380944,0.39200951,0.76995947
1.20000000,-1.22121222,0.03097667,0.36391655,0.91367408
1.25000000,-1.20551667,0.03225333,0.38789222,0.97699478
1.30000000,-1.18705889,0.03215556,0.40749010,0.96102966
1.35000000,-1.16928111,0.02911556,0.39503177,0.73042516
1.40000000,-1.14100000,0.03113222,0.40410871,0.90713821
1.45000000,-1.12680000,0.03217667,0.39811728,0.83908192
1.50000000,-1.11678889,0.03108500,0.42733323,0.78636707
1.55000000,-1.08106444,0.02945889,0.40046737,0.72729335
1.60000000,-1.05659000,0.03030389,0.41716043,0.76896798
1.65000000,-1.04376444,0.03081667,0.40017498,0.79427895
1.70000000,-1.01327778,0.02995833,0.37859810,0.73464013
1.75000000,-1.00458889,0.02846333,0.38872951,0.62994101
1.80000000,-0.99156778,0.03160333,0.37855764,0.75069109
1.85000000,-0.96714556,0.03213222,0.36448893,0.74651139
1.90000000,-0.94427889,0.02995889,0.36254146,0.64306521
1.95000000,-0.92544889,0.03061278,0.34793783,0.65579353
2.00000000,-0.90024333,0.02978056,0.34549039,0.61876865
2.05000000,-0.89545667,0.02995611,0.33120133,0.60614410
2.10000000,-0.88102667,0.02932444,0.32497459,0.56407377
2.15000000,-0.86510222,0.03016333,0.32328107,0.58218914
2.20000000,-0.84615444,0.02997556,0.31180749,0.56838567
2.25000000,-0.82883444,0.02956056,0.30420142,0.52817043
2.30000000,-0.80932778,0.02954944,0.28405783,0.53126947
2.35000000,-0.79868667,0.02958278,0.30077105,0.52146617
2.40000000,-0.78156667,0.02961278,0.27628527,0.50800896
2.45000000,-0.76721111,0.02874111,0.27463637,0.47713875
2.50000000,-0.75496889,0.02906167,0.24719662,0.46030216
2.55000000,-0.74307222,0.02900556,0.25604564,0.45726410
2.60000000,-0.72941556,0.02944333,0.24704455,0.46226501
2.65000000,-0.71865444,0.02995111,0.24008963,0.46425650
2.70000000,-0.70530889,0.02992389,0.23786550,0.45931706
2.75000000,-0.69522778,0.03039667,0.23950497,0.47220112
2.80000000,-0.68448111,0.02902500,0.22701638,0.42289530
2.85000000,-0.67246444,0.02890722,0.21430369,0.40881482
2.90000000,-0.65923222,0.02958389,0.20889829,0.41611697
2.95000000,-0.65444556,0.02902556,0.19592442,0.40444387
3.00000000,-0.63885444,0.02828722,0.18756995,0.37102045
3.05000000,-0.62968778,0.02859167,0.18613881,0.37837241
3.10000000,-0.62190111,0.02936556,0.18249033,0.38501674
3.15000000,-0.61300667,0.02835722,0.17391256,0.36037791
3.20000000,-0.60287111,0.02862056,0.17599385,0.36069700
3.25000000,-0.59520444,0.02881444,0.16673222,0.36390061
3.30000000,-0.58827889,0.02872278,0.15994404,0.34689721
3.35000000,-0.57963000,0.02813500,0.16150107,0.33837148
3.40000000,-0.57316444,0.02946556,0.16148965,0.35649714
3.45000000,-0.56290222,0.02858056,0.15320276,0.33173390
3.50000000,-0.55481333,0.02906167,0.15003949,0.33945213
3.55000000,-0.54781222,0.02758111,0.14195212,0.30608216
3.60000000,-0.54133333,0.02764278,0.14368123,0.30351380
3.65000000,-0.53408556,0.02762278,0.13666531,0.29517221
3.70000000,-0.52593667,0.02859722,0.13232695,0.31004198
3.75000000,-0.52293111,0.02808611,0.13060683,0.29227740
3.80000000,-0.51588667,0.02841611,0.12610939,0.30222498
3.85000000,-0.50861667,0.02827111,0.12850031,0.28899605
3.90000000,-0.50056778,0.02855389,0.11964427,0.29469615
3.95000000,-0.49624556,0.02909167,0.11940815,0.29864192
4.00000000,-0.48860667,0.02875389,0.11714397,0.29100130
