temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.55680556,0.32531778,0.21726918,3.22864643
1.05000000,-1.53800444,0.38573667,0.28926775,3.79047317
1.10000000,-1.53140111,0.33959500,0.24512600,2.49937251
1.15000000,-1.50608667,0.27362944,0.30845998,2.72562051
1.20000000,-1.51100889,0.46254778,0.31463743,2.84465413
1.25000000,-1.50354333,0.42697833,0.31687990,2.97888985
1.30000000,-1.48064222,0.47871278,0.39294128,3.16509525
1.35000000,-1.45931333,0.38017389,0.40068930,5.60772700
1.40000000,-1.43461556,0.35896278,0.41052925,6.92216307
1.45000000,-1.41282667,0.30008778,0.43743511,4.85781812
1.50000000,-1.39579111,0.36363833,0.47190266,6.39765283
1.55000000,-1.37446444,0.44716722,0.51452313,5.93427880
1.60000000,-1.34235667,0.34876333,0.58386018,7.87752382
1.65000000,-1.29657667,0.25240333,0.56764349,8.71619434
1.70000000,-1.26515111,0.22874444,0.51733961,10.17903067
1.75000000,-1.25525333,0.26306278,0.59537493,14.81845043
1.80000000,-1.20702000,0.16444167,0.56438931,11.77262978
1.85000000,-1.17930000,0.17328722,0.54334295,10.86929149
1.90000000,-1.14917444,0.13797444,0.56539495,8.57797180
1.95000000,-1.11723556,0.13644111,0.57250793,8.40596926
2.00000000,-1.08587778,0.13315667,0.54609594,7.39784597
2.05000000,-1.06169111,0.12685389,0.52489825,7.98207143
2.10000000,-1.04228444,0.10093167,0.48543191,6.22525758
2.15000000,-1.01112333,0.10672778,0.52777249,6.72874682
2.20000000,-0.98815222,0.09786500,0.45607524,5.40615247
2.25000000,-0.96258556,0.09717833,0.44655947,4.91881487
2.30000000,-0.94209000,0.09627389,0.45851731,5.32795649
2.35000000,-0.91529000,0.08327500,0.41339304,3.98012369
2.40000000,-0.89362000,0.08744056,0.41252005,4.27586687
2.45000000,-0.87765667,0.08299000,0.39735865,3.77078963
2.50000000,-0.85756667,0.07385889,0.38940695,2.81268842
2.55000000,-0.83526778,0.07051611,0.36063658,2.59333441
2.60000000,-0.82189667,0.06891278,0.34402087,2.37526451
2.65000000,-0.80145000,0.07027000,0.31803449,2.48140510
2.70000000,-0.79198889,0.06842222,0.32238387,2.28319751
2.75000000,-0.77120000,0.06376167,0.30000672,1.96333472
2.80000000,-0.75611000,0.06301611,0.30167428,1.93529300
2.85000000,-0.74107444,0.06002889,0.27411189,1.75275796
2.90000000,-0.73169444,0.05825611,0.26473405,1.60722297
2.95000000,-0.71329222,0.05993167,0.24875857,1.63346692
3.00000000,-0.69837333,0.05687000,0.25039553,1.49926207
3.05000000,-0.68794111,0.05552167,0.24879671,1.40229189
3.10000000,-0.67667333,0.05396833,0.22556928,1.31096099
3.15000000,-0.66592000,0.05571444,0.22248044,1.38173380
3.20000000,-0.65408889,0.05569889,0.22324790,1.35763671
3.25000000,-0.64316444,0.05221167,0.21734975,1.14146843
3.30000000,-0.63551111,0.05067000,0.20747083,1.07477250
3.35000000,-0.62202556,0.05266167,0.19560785,1.14284726
3.40000000,-0.61168000,0.05095889,0.19859650,1.06407196
3.45000000,-0.60387000,0.05032056,0.18053471,1.01891564
3.50000000,-0.59436111,0.05038000,0.18264323,1.01338440
3.55000000,-0.58384667,0.04664889,0.16951571,0.86640959
3.60000000,-0.57577111,0.04809778,0.17161889,0.88089397
3.65000000,-0.56598556,0.04794000,0.16872615,0.87138662
3.70000000,-0.55998333,0.04760500,0.16647549,0.85444332
3.75000000,-0.55004667,0.04749667,0.15869983,0.84302245
3.80000000,-0.54319000,0.04527611,0.15352176,0.74597950
3.85000000,-0.53645444,0.04516333,0.14554329,0.74270237
3.90000000,-0.52958222,0.04658611,0.14887730,0.76426403
3.95000000,-0.52153333,0.04442000,0.13568083,0.70445124
4.00000000,-0.51615333,0.04464944,0.13635670,0.68622307
