tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.25000000,0.25828879,0.71446623,0.25828879,-1.42725557,5 ,true
2.25010000,0.04510077,0.43138185,0.04510077,-1.85222724,6 ,true
2.25020000,0.05060765,0.44695806,0.05060765,-1.84030933,6 ,true
2.25030000,0.05444983,0.45752664,0.05444983,-1.83205591,6 ,true
2.25040000,0.05751940,0.46579433,0.05751940,-1.82550069,6 ,true
2.25050000,0.06012790,0.47269774,0.06012790,-1.81995820,6 ,true
2.25060000,0.06242479,0.47868350,0.06242479,-1.81509991,6 ,true
2.25070000,0.06449459,0.48400293,0.06449459,-1.81074023,6 ,true
2.25080000,0.06639022,0.48881286,0.06639022,-1.80676295,6 ,true
2.25090000,0.06814729,0.49321840,0.06814729,-1.80308999,6 ,true
2.25100000,0.06979100,0.49729379,0.06979100,-1.79966606,6 ,true
2.25110000,0.07133992,0.50109360,0.07133992,-1.79645044,6 ,true
2.25120000,0.07280819,0.50465925,0.07280819,-1.79341215,6 ,true
2.25130000,0.07420681,0.50802300,0.07420681,-1.79052704,6 ,true
2.25140000,0.07554459,0.51121053,0.07554459,-1.78777584,6 ,true
2.25150000,0.07682865,0.51424264,0.07682865,-1.78514293,6 ,true
2.25160000,0.07806486,0.51713644,0.07806486,-1.78261544,6 ,true
2.25170000,0.07925812,0.51990619,0.07925812,-1.78018262,6 ,true
2.25180000,0.08041258,0.52256395,0.08041258,-1.77783540,6 ,true
2.25190000,0.08153177,0.52511995,0.08153177,-1.77556603,6 ,true
2.25200000,0.08261874,0.52758304,0.08261874,-1.77336785,6 ,true
2.25210000,0.08367611,0.52996086,0.08367611,-1.77123507,6 ,true
2.25220000,0.08470620,0.53226009,0.08470620,-1.76916263,6 ,true
2.25230000,0.08571103,0.53448660,0.08571103,-1.76714610,6 ,true
2.25240000,0.08669241,0.53664560,0.08669241,-1.76518152,6 ,true
2.25250000,0.08765192,0.53874170,0.08765192,-1.76326539,6 ,true
2.25260000,0.08859101,0.54077903,0.08859101,-1.76139458,6 ,true
2.25270000,0.08951094,0.54276131,0.08951094,-1.75956627,6 ,true
2.25280000,0.09041289,0.54469186,0.09041289,-1.75777792,6 ,true
2.25290000,0.09129790,0.54657372,0.09129790,-1.75602723,6 ,true
2.25300000,0.09216692,0.54840965,0.09216692,-1.75431211,6 ,true
2.25310000,0.09302082,0.55020213,0.09302082,-1.75263064,6 ,true
2.25320000,0.09386040,0.55195348,0.09386040,-1.75098108,6 ,true
2.25330000,0.09468639,0.55366579,0.09468639,-1.74936184,6 ,true
2.25340000,0.09549945,0.55534098,0.09549945,-1.74777142,6 ,true
2.25350000,0.09630021,0.55698086,0.09630021,-1.74620849,6 ,true
2.25360000,0.09708924,0.55858706,0.09708924,-1.74467176,6 ,true
2.25370000,0.09786707,0.56016111,0.09786707,-1.74316009,6 ,true
2.25380000,0.09863419,0.56170443,0.09863419,-1.74167239,6 ,true
2.25390000,0.09939107,0.56321833,0.09939107,-1.74020764,6 ,true
2.25400000,0.10013812,0.56470406,0.10013812,-1.73876491,6 ,true
2.25410000,0.10087574,0.56616275,0.10087574,-1.73734332,6 ,true
2.25420000,0.10160432,0.56759549,0.10160432,-1.73594205,6 ,true
2.25430000,0.10232420,0.56900327,0.10232420,-1.73456033,6 ,true
2.25440000,0.10303570,0.57038704,0.10303570,-1.73319742,6 ,true
2.25450000,0.10373915,0.57174770,0.10373915,-1.73185266,6 ,true
2.25460000,0.10443482,0.57308608,0.10443482,-1.73052541,6 ,true
2.25470000,0.10512300,0.57440296,0.10512300,-1.72921504,6 ,true
2.25480000,0.10580394,0.57569910,0.10580394,-1.72792101,6 ,true
2.25490000,0.10647789,0.57697519,0.10647789,-1.72664276,6 ,true
2.25500000,0.10714507,0.57823190,0.10714507,-1.72537978,6 ,true
2.25510000,0.10780572,0.57946986,0.10780572,-1.72413160,6 ,true
2.25520000,0.10846003,0.58068967,0.10846003,-1.72289775,6 ,true
2.25530000,0.10910820,0.58189190,0.10910820,-1.72167779,6 ,true
2.25540000,0.10975042,0.58307709,0.10975042,-1.72047132,6 ,true
2.25550000,0.11038687,0.58424575,0.11038687,-1.71927793,6 ,true
2.25560000,0.11101773,0.58539837,0.11101773,-1.71809726,6 ,true
2.25570000,0.11164314,0.58653541,0.11164314,-1.71692893,6 ,true
2.25580000,0.11226327,0.58765733,0.11226327,-1.71577262,6 ,true
2.25590000,0.11287827,0.58876454,0.11287827,-1.71462799,6 ,true
2.25600000,0.11348827,0.58985745,0.11348827,-1.71349473,6 ,true
2.25610000,0.11409341,0.59093644,0.11409341,-1.71237255,6 ,true
2.25620000,0.11469382,0.59200190,0.11469382,-1.71126115,6 ,true
2.25630000,0.11528962,0.59305418,0.11528962,-1.71016027,6 ,true
2.25640000,0.11588094,0.59409361,0.11588094,-1.70906964,6 ,true
2.25650000,0.11646788,0.59512052,0.11646788,-1.70798900,6 ,true
2.25660000,0.11705055,0.59613522,0.11705055,-1.70691813,6 ,true
2.25670000,0.11762906,0.59713803,0.11762906,-1.70585678,6 ,true
2.25680000,0.11820351,0.59812922,0.11820351,-1.70480473,6 ,true
2.25690000,0.11877400,0.59910908,0.11877400,-1.70376178,6 ,true
2.25700000,0.11934061,0.60007787,0.11934061,-1.70272770,6 ,true
2.25710000,0.11990345,0.60103585,0.11990345,-1.70170230,6 ,true
2.25720000,0.12046259,0.60198326,0.12046259,-1.70068540,6 ,true
2.25730000,0.12101812,0.60292036,0.12101812,-1.69967680,6 ,true
2.25740000,0.12157011,0.60384736,0.12157011,-1.69867633,6 ,true
2.25750000,0.12211865,0.60476450,0.12211865,-1.69768382,6 ,true
2.25760000,0.12266382,0.60567198,0.12266382,-1.69669910,6 ,true
2.25770000,0.12320567,0.60657001,0.12320567,-1.69572200,6 ,true
2.25780000,0.12374429,0.60745880,0.12374429,-1.69475238,6 ,true
2.25790000,0.12427973,0.60833853,0.12427973,-1.69379009,6 ,true
2.25800000,0.12481207,0.60920940,0.12481207,-1.69283498,6 ,true
2.25810000,0.12534137,0.61007158,0.12534137,-1.69188690,6 ,true
2.25820000,0.12586768,0.61092526,0.12586768,-1.69094574,6 ,true
2.25830000,0.12639107,0.61177059,0.12639107,-1.69001134,6 ,true
2.25840000,0.12691160,0.61260775,0.12691160,-1.68908359,6 ,true
2.25850000,0.12742932,0.61343689,0.12742932,-1.68816237,6 ,true
2.25860000,0.12794428,0.61425817,0.12794428,-1.68724754,6 ,true
2.25870000,0.12845653,0.61507174,0.12845653,-1.68633901,6 ,true
2.25880000,0.12896613,0.61587774,0.12896613,-1.68543664,6 ,true
2.25890000,0.12947312,0.61667632,0.12947312,-1.68454035,6 ,true
2.25900000,0.12997756,0.61746761,0.12997756,-1.68365001,6 ,true
2.25910000,0.13047948,0.61825174,0.13047948,-1.68276553,6 ,true
2.25920000,0.13097894,0.61902884,0.13097894,-1.68188680,6 ,true
2.25930000,0.13147598,0.61979905,0.13147598,-1.68101373,6 ,true
2.25940000,0.13197063,0.62056247,0.13197063,-1.68014623,6 ,true
2.25950000,0.13246294,0.62131923,0.13246294,-1.67928420,6 ,true
2.25960000,0.13295295,0.62206945,0.13295295,-1.67842755,6 ,true
2.25970000,0.13344071,0.62281323,0.13344071,-1.67757619,6 ,true
2.25980000,0.13392623,0.62355068,0.13392623,-1.67673005,6 ,true
2.25990000,0.13440958,0.62428192,0.13440958,-1.67588903,6 ,true
2.26000000,0.13489077,0.62500705,0.13489077,-1.67505307,6 ,true
2.26010000,0.13536984,0.62572615,0.13536984,-1.67422207,6 ,true
