temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.50395422,0.27584367,0.23922617,3.75506652
1.05000000,-1.48793156,0.26069389,0.24848566,4.18232043
1.10000000,-1.47446178,0.25148378,0.26985139,3.57474749
1.15000000,-1.47008956,0.29956467,0.29234477,3.46725038
1.20000000,-1.45239911,0.23410344,0.32946738,6.08157919
1.25000000,-1.43049333,0.29610278,0.34405329,5.41548554
1.30000000,-1.41531000,0.30964567,0.38933555,4.33887516
1.35000000,-1.39415667,0.24320267,0.43796581,9.28381755
1.40000000,-1.37764178,0.28806556,0.47998597,9.00698353
1.45000000,-1.35589956,0.32334144,0.48202935,6.96538419
1.50000000,-1.32440044,0.27196600,0.50779311,8.54072888
1.55000000,-1.29660044,0.22335211,0.53786575,14.42922510
1.60000000,-1.27697778,0.21420278,0.55291123,11.95325788
1.65000000,-1.23718044,0.16266767,0.55890633,12.41653659
1.70000000,-1.21173822,0.15566300,0.54761597,10.31533203
1.75000000,-1.18169400,0.14515033,0.57431146,12.17225058
1.80000000,-1.15284311,0.14554889,0.54511616,12.53272198
1.85000000,-1.12605289,0.13442622,0.52066415,9.73705733
1.90000000,-1.10124422,0.10982889,0.51715585,7.81039503
1.95000000,-1.06913933,0.11295522,0.50101939,8.26431923
2.00000000,-1.05017578,0.10372322,0.51230386,6.17900888
2.05000000,-1.02307556,0.10010767,0.49578177,6.46041648
2.10000000,-1.00327178,0.08906622,0.47460800,5.13596935
2.15000000,-0.97819600,0.08792744,0.47004256,4.78997028
2.20000000,-0.95253444,0.08545444,0.43275360,4.45097056
2.25000000,-0.92787400,0.08081467,0.41655527,3.91725425
2.30000000,-0.91006022,0.07622700,0.40574598,3.41883679
2.35000000,-0.89257667,0.07601544,0.40420941,3.36096995
2.40000000,-0.87077622,0.07270078,0.38068811,3.06544155
2.45000000,-0.85261756,0.07039800,0.36218796,2.79978677
2.50000000,-0.83678756,0.06818156,0.34568054,2.55145459
2.55000000,-0.81819556,0.06639300,0.33607337,2.39984003
2.60000000,-0.80173800,0.06592022,0.32405158,2.32345726
2.65000000,-0.78661467,0.06462422,0.30654184,2.18191173
2.70000000,-0.77006378,0.06114589,0.30078677,1.92748981
2.75000000,-0.75555800,0.05883067,0.28822681,1.75372182
2.80000000,-0.74196978,0.06012944,0.27407868,1.80675004
2.85000000,-0.72808933,0.05895567,0.26815741,1.69533912
2.90000000,-0.71474889,0.05710122,0.25677980,1.56829982
2.95000000,-0.70228622,0.05561278,0.25578850,1.45926479
3.00000000,-0.69020600,0.05457533,0.23861265,1.38370241
3.05000000,-0.67740533,0.05298233,0.23716148,1.31728209
3.10000000,-0.66476756,0.05260944,0.22384302,1.24568507
3.15000000,-0.65468467,0.05201122,0.21694141,1.20004764
3.20000000,-0.64482956,0.05144344,0.21386551,1.15489520
3.25000000,-0.63270889,0.05006244,0.20239507,1.07420345
3.30000000,-0.62378556,0.04964900,0.19504154,1.05615274
3.35000000,-0.61201356,0.04971078,0.18737398,1.03202470
3.40000000,-0.60481022,0.04935467,0.18745570,1.00261242
3.45000000,-0.59442244,0.04800778,0.17887566,0.93373106
3.50000000,-0.58559267,0.04756933,0.17811824,0.89792543
3.55000000,-0.57767511,0.04680100,0.17042234,0.86754121
3.60000000,-0.56840289,0.04625456,0.16333645,0.83196552
3.65000000,-0.56095311,0.04568722,0.15579493,0.80693052
3.70000000,-0.55250533,0.04503989,0.15559345,0.77432422
3.75000000,-0.54480156,0.04528911,0.14759051,0.77105176
3.80000000,-0.53728044,0.04450678,0.14659684,0.73136708
3.85000000,-0.52999556,0.04394111,0.14544967,0.70097462
3.90000000,-0.52409400,0.04385833,0.13922841,0.69706872
3.95000000,-0.51597622,0.04288922,0.13660612,0.65503514
4.00000000,-0.51005756,0.04288211,0.13426462,0.64917000
