tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.00000000,0.10578221,0.38240790,0.10578221,-0.08654908,6 ,true
2.00010000,0.03768256,0.57521426,0.03768256,-0.21250682,7 ,true
2.00020000,0.04176211,0.58480426,0.04176211,-0.20466545,7 ,true
2.00030000,0.04455597,0.59104694,0.04455597,-0.19933384,7 ,true
2.00040000,0.04675856,0.59578216,0.04675856,-0.19515475,7 ,true
2.00050000,0.04861054,0.59963650,0.04861054,-0.19165857,7 ,true
2.00060000,0.05022674,0.60290531,0.05022674,-0.18862142,7 ,true
2.00070000,0.05167181,0.60575328,0.05167181,-0.18591735,7 ,true
2.00080000,0.05298612,0.60828238,0.05298612,-0.18346779,7 ,true
2.00090000,0.05419671,0.61056047,0.05419671,-0.18122009,7 ,true
2.00100000,0.05532269,0.61263518,0.05532269,-0.17913707,7 ,true
2.00110000,0.05637811,0.61454135,0.05637811,-0.17719142,7 ,true
2.00120000,0.05737361,0.61630527,0.05737361,-0.17536241,7 ,true
2.00130000,0.05831752,0.61794732,0.05831752,-0.17363390,7 ,true
2.00140000,0.05921642,0.61948364,0.05921642,-0.17199305,7 ,true
2.00150000,0.06007567,0.62092726,0.06007567,-0.17042946,7 ,true
2.00160000,0.06089966,0.62228886,0.06089966,-0.16893459,7 ,true
2.00170000,0.06169208,0.62357730,0.06169208,-0.16750130,7 ,true
2.00180000,0.06245600,0.62480003,0.06245600,-0.16612358,7 ,true
2.00190000,0.06319406,0.62596339,0.06319406,-0.16479631,7 ,true
2.00200000,0.06390853,0.62707278,0.06390853,-0.16351508,7 ,true
2.00210000,0.06460138,0.62813291,0.06460138,-0.16227609,7 ,true
2.00220000,0.06527432,0.62914786,0.06527432,-0.16107599,7 ,true
2.00230000,0.06592884,0.63012119,0.06592884,-0.15991186,7 ,true
2.00240000,0.06656630,0.63105607,0.06656630,-0.15878112,7 ,true
2.00250000,0.06718786,0.63195529,0.06718786,-0.15768145,7 ,true
2.00260000,0.06779459,0.63282134,0.06779459,-0.15661080,7 ,true
2.00270000,0.06838744,0.63365645,0.06838744,-0.15556733,7 ,true
2.00280000,0.06896726,0.63446264,0.06896726,-0.15454937,7 ,true
2.00290000,0.06953482,0.63524170,0.06953482,-0.15355542,7 ,true
2.00300000,0.07009083,0.63599529,0.07009083,-0.15258411,7 ,true
2.00310000,0.07063594,0.63672490,0.07063594,-0.15163420,7 ,true
2.00320000,0.07117071,0.63743188,0.07117071,-0.15070455,7 ,true
2.00330000,0.07169570,0.63811749,0.07169570,-0.14979411,7 ,true
2.00340000,0.07221139,0.63878286,0.07221139,-0.14890192,7 ,true
2.00350000,0.07271824,0.63942904,0.07271824,-0.14802710,7 ,true
2.00360000,0.07321667,0.64005701,0.07321667,-0.14716883,7 ,true
2.00370000,0.07370707,0.64066767,0.07370707,-0.14632635,7 ,true
2.00380000,0.07418979,0.64126183,0.07418979,-0.14549897,7 ,true
2.00390000,0.07466518,0.64184027,0.07466518,-0.14468602,7 ,true
2.00400000,0.07513354,0.64240371,0.07513354,-0.14388690,7 ,true
2.00410000,0.07559517,0.64295281,0.07559517,-0.14310105,7 ,true
2.00420000,0.07605035,0.64348820,0.07605035,-0.14232792,7 ,true
2.00430000,0.07649932,0.64401046,0.07649932,-0.14156702,7 ,true
2.00440000,0.07694233,0.64452014,0.07694233,-0.14081788,7 ,true
2.00450000,0.07737960,0.64501775,0.07737960,-0.14008007,7 ,true
2.00460000,0.07781134,0.64550376,0.07781134,-0.13935317,7 ,true
2.00470000,0.07823776,0.64597863,0.07823776,-0.13863679,7 ,true
2.00480000,0.07865904,0.64644279,0.07865904,-0.13793057,7 ,true
2.00490000,0.07907536,0.64689663,0.07907536,-0.13723415,7 ,true
2.00500000,0.07948689,0.64734055,0.07948689,-0.13654721,7 ,true
2.00510000,0.07989379,0.64777488,0.07989379,-0.13586943,7 ,true
2.00520000,0.08029620,0.64819999,0.08029620,-0.13520053,7 ,true
2.00530000,0.08069428,0.64861618,0.08069428,-0.13454022,7 ,true
2.00540000,0.08108816,0.64902376,0.08108816,-0.13388824,7 ,true
2.00550000,0.08147796,0.64942302,0.08147796,-0.13324433,7 ,true
2.00560000,0.08186382,0.64981423,0.08186382,-0.13260826,7 ,true
2.00570000,0.08224584,0.65019767,0.08224584,-0.13197979,7 ,true
2.00580000,0.08262415,0.65057356,0.08262415,-0.13135870,7 ,true
2.00590000,0.08299884,0.65094217,0.08299884,-0.13074479,7 ,true
2.00600000,0.08337002,0.65130370,0.08337002,-0.13013786,7 ,true
