temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.50000000,-1.95178125,0.98669214,0.19469900,0.02731493
1.55000000,-1.94004932,0.98322363,0.24533655,0.03543273
1.60000000,-1.92806787,0.97952466,0.26665326,0.04432805
1.65000000,-1.91477734,0.97542383,0.27400450,0.04913753
1.70000000,-1.89831836,0.96998633,0.34523426,0.07554284
1.75000000,-1.82768018,0.68487085,3.76888650,201.30962369
1.80000000,-1.86028760,0.95734448,0.42664112,0.09796168
1.85000000,-1.72806299,0.09274194,0.53746766,21.70463191
1.90000000,-1.81137500,0.93914380,0.54468587,0.19768204
1.95000000,-1.78039355,0.92667212,0.60814521,0.24930874
2.00000000,-1.74728809,0.91249219,0.77707253,0.41712761
2.05000000,-1.71046777,0.89565063,0.76255729,0.43419300
2.10000000,-1.66805322,0.87466772,0.88638306,0.70843770
2.15000000,-1.61146680,0.83612061,1.14732696,1.72905540
2.20000000,-1.55385693,0.79747217,1.33414753,2.60079557
2.25000000,-1.46666162,0.69808081,1.55367771,8.32318241
2.30000000,-1.32380273,0.29575415,1.44746982,169.68213416
2.35000000,-1.25821582,0.16229712,1.00276103,56.60714157
2.40000000,-1.19349170,0.12510815,1.10323428,28.49304342
2.45000000,-1.15216602,0.12789819,0.97366454,35.22902807
2.50000000,-1.10631445,0.09835815,0.86440815,19.75394474
2.55000000,-1.06565283,0.09260645,0.75211895,18.11691022
2.60000000,-1.02718652,0.07969189,0.64435390,14.56201454
2.65000000,-0.99504102,0.06895361,0.57551003,9.85116340
2.70000000,-0.96391162,0.05841602,0.56669262,7.63111046
2.75000000,-0.93538623,0.05615186,0.53921975,7.41784036
2.80000000,-0.90695264,0.04820190,0.52485093,5.55194420
2.85000000,-0.88238135,0.05082861,0.48928737,5.72363280
2.90000000,-0.86314453,0.04653027,0.45949223,4.80832124
2.95000000,-0.83904395,0.04622095,0.43314701,4.59027322
3.00000000,-0.81607520,0.04030859,0.42436852,3.45308478
3.05000000,-0.79974414,0.04161182,0.40214415,3.47869317
3.10000000,-0.78028027,0.03908423,0.38557043,3.04881015
3.15000000,-0.76145947,0.04026294,0.31079932,3.09114773
3.20000000,-0.74584570,0.03495923,0.33636302,2.45924393
3.25000000,-0.73030664,0.03144263,0.31909484,1.98886299
3.30000000,-0.71290430,0.03308862,0.31165914,2.16304360
3.35000000,-0.70134131,0.03362866,0.27664270,2.13328471
3.40000000,-0.68558447,0.03294873,0.27269343,1.97523381
3.45000000,-0.67099707,0.03101538,0.25771726,1.78302014
3.50000000,-0.65998291,0.03109644,0.22917124,1.72508963
3.55000000,-0.64761719,0.03079004,0.24110246,1.72951262
3.60000000,-0.63683252,0.02842529,0.22457861,1.41849851
3.65000000,-0.62600195,0.02954028,0.22347483,1.52383502
3.70000000,-0.61484326,0.02947559,0.21391701,1.43922049
3.75000000,-0.60591650,0.02809082,0.20891841,1.35561104
3.80000000,-0.59447803,0.02774487,0.18647170,1.29269380
3.85000000,-0.58528760,0.02712891,0.19732502,1.21210933
3.90000000,-0.57511230,0.02605347,0.18204557,1.11936003
3.95000000,-0.56659912,0.02750464,0.17902091,1.22654888
4.00000000,-0.55754639,0.02653613,0.17206378,1.09815732
