tc,beta,r_squared,slope,intercept,fit_points,is_valid
1.65000000,0.30267037,0.75680972,0.30267037,-0.95908685,11 ,true
1.65010000,0.06592975,0.34550124,0.06592975,-1.27635376,12 ,true
1.65020000,0.07389535,0.36702266,0.07389535,-1.26429323,12 ,true
1.65030000,0.07935823,0.38140808,0.07935823,-1.25610882,12 ,true
1.65040000,0.08366350,0.39253233,0.08366350,-1.24970942,12 ,true
1.65050000,0.08727969,0.40173091,0.08727969,-1.24436956,12 ,true
1.65060000,0.09043118,0.40963880,0.09043118,-1.23974276,12 ,true
1.65070000,0.09324463,0.41661240,0.09324463,-1.23563386,12 ,true
1.65080000,0.09579924,0.42287364,0.09579924,-1.23192098,12 ,true
1.65090000,0.09814823,0.42857096,0.09814823,-1.22852239,12 ,true
1.65100000,0.10032923,0.43380903,0.10032923,-1.22538033,12 ,true
1.65110000,0.10236993,0.43866465,0.10236993,-1.22245235,12 ,true
1.65120000,0.10429139,0.44319605,0.10429139,-1.21970619,12 ,true
1.65130000,0.10611003,0.44744851,0.10611003,-1.21711675,12 ,true
1.65140000,0.10783891,0.45145798,0.10783891,-1.21466403,12 ,true
1.65150000,0.10948864,0.45525360,0.10948864,-1.21233184,12 ,true
1.65160000,0.11106793,0.45885927,0.11106793,-1.21010686,12 ,true
1.65170000,0.11258407,0.46229492,0.11258407,-1.20797798,12 ,true
1.65180000,0.11404319,0.46557735,0.11404319,-1.20593582,12 ,true
1.65190000,0.11545055,0.46872083,0.11545055,-1.20397239,12 ,true
1.65200000,0.11681064,0.47173766,0.11681064,-1.20208083,12 ,true
1.65210000,0.11812737,0.47463846,0.11812737,-1.20025518,12 ,true
1.65220000,0.11940416,0.47743250,0.11940416,-1.19849025,12 ,true
1.65230000,0.12064401,0.48012795,0.12064401,-1.19678146,12 ,true
1.65240000,0.12184958,0.48273199,0.12184958,-1.19512476,12 ,true
1.65250000,0.12302321,0.48525103,0.12302321,-1.19351657,12 ,true
1.65260000,0.12416704,0.48769078,0.12416704,-1.19195367,12 ,true
1.65270000,0.12528295,0.49005636,0.12528295,-1.19043318,12 ,true
1.65280000,0.12637266,0.49235238,0.12637266,-1.18895250,12 ,true
1.65290000,0.12743770,0.49458302,0.12743770,-1.18750928,12 ,true
1.65300000,0.12847949,0.49675207,0.12847949,-1.18610139,12 ,true
1.65310000,0.12949930,0.49886298,0.12949930,-1.18472686,12 ,true
1.65320000,0.13049831,0.50091889,0.13049831,-1.18338394,12 ,true
1.65330000,0.13147760,0.50292271,0.13147760,-1.18207098,12 ,true
1.65340000,0.13243814,0.50487709,0.13243814,-1.18078648,12 ,true
1.65350000,0.13338086,0.50678446,0.13338086,-1.17952906,12 ,true
1.65360000,0.13430659,0.50864710,0.13430659,-1.17829744,12 ,true
1.65370000,0.13521611,0.51046708,0.13521611,-1.17709044,12 ,true
1.65380000,0.13611015,0.51224636,0.13611015,-1.17590696,12 ,true
1.65390000,0.13698938,0.51398673,0.13698938,-1.17474597,12 ,true
1.65400000,0.13785443,0.51568988,0.13785443,-1.17360653,12 ,true
1.65410000,0.13870589,0.51735737,0.13870589,-1.17248775,12 ,true
1.65420000,0.13954429,0.51899067,0.13954429,-1.17138878,12 ,true
1.65430000,0.14037016,0.52059115,0.14037016,-1.17030886,12 ,true
1.65440000,0.14118398,0.52216009,0.14118398,-1.16924725,12 ,true
1.65450000,0.14198620,0.52369872,0.14198620,-1.16820327,12 ,true
1.65460000,0.14277725,0.52520815,0.14277725,-1.16717626,12 ,true
1.65470000,0.14355753,0.52668948,0.14355753,-1.16616563,12 ,true
1.65480000,0.14432741,0.52814370,0.14432741,-1.16517078,12 ,true
1.65490000,0.14508727,0.52957176,0.14508727,-1.16419119,12 ,true
1.65500000,0.14583742,0.53097458,0.14583742,-1.16322634,12 ,true
1.65510000,0.14657820,0.53235301,0.14657820,-1.16227574,12 ,true
1.65520000,0.14730992,0.53370785,0.14730992,-1.16133892,12 ,true
1.65530000,0.14803285,0.53503987,0.14803285,-1.16041546,12 ,true
1.65540000,0.14874727,0.53634981,0.14874727,-1.15950493,12 ,true
1.65550000,0.14945345,0.53763835,0.14945345,-1.15860695,12 ,true
1.65560000,0.15015163,0.53890615,0.15015163,-1.15772112,12 ,true
1.65570000,0.15084205,0.54015385,0.15084205,-1.15684710,12 ,true
1.65580000,0.15152493,0.54138204,0.15152493,-1.15598455,12 ,true
1.65590000,0.15220050,0.54259129,0.15220050,-1.15513313,12 ,true
1.65600000,0.15286895,0.54378215,0.15286895,-1.15429254,12 ,true
1.65610000,0.15353048,0.54495513,0.15353048,-1.15346247,12 ,true
1.65620000,0.15418528,0.54611075,0.15418528,-1.15264264,12 ,true
1.65630000,0.15483353,0.54724947,0.15483353,-1.15183279,12 ,true
1.65640000,0.15547541,0.54837174,0.15547541,-1.15103264,12 ,true
1.65650000,0.15611107,0.54947802,0.15611107,-1.15024194,12 ,true
1.65660000,0.15674068,0.55056872,0.15674068,-1.14946047,12 ,true
1.65670000,0.15736439,0.55164423,0.15736439,-1.14868798,12 ,true
1.65680000,0.15798234,0.55270496,0.15798234,-1.14792425,12 ,true
1.65690000,0.15859468,0.55375126,0.15859468,-1.14716907,12 ,true
1.65700000,0.15920154,0.55478350,0.15920154,-1.14642224,12 ,true
1.65710000,0.15980305,0.55580202,0.15980305,-1.14568356,12 ,true
1.65720000,0.16039934,0.55680715,0.16039934,-1.14495283,12 ,true
1.65730000,0.16099052,0.55779921,0.16099052,-1.14422988,12 ,true
1.65740000,0.16157672,0.55877850,0.16157672,-1.14351453,12 ,true
1.65750000,0.16215804,0.55974533,0.16215804,-1.14280661,12 ,true
1.65760000,0.16273459,0.56069997,0.16273459,-1.14210596,12 ,true
1.65770000,0.16330649,0.56164271,0.16330649,-1.14141241,12 ,true
1.65780000,0.16387382,0.56257380,0.16387382,-1.14072582,12 ,true
1.65790000,0.16443669,0.56349351,0.16443669,-1.14004603,12 ,true
1.65800000,0.16499519,0.56440208,0.16499519,-1.13937291,12 ,true
1.65810000,0.16554941,0.56529976,0.16554941,-1.13870631,12 ,true
1.65820000,0.16609944,0.56618677,0.16609944,-1.13804611,12 ,true
1.65830000,0.16664536,0.56706334,0.16664536,-1.13739217,12 ,true
1.65840000,0.16718726,0.56792968,0.16718726,-1.13674437,12 ,true
1.65850000,0.16772522,0.56878601,0.16772522,-1.13610258,12 ,true
1.65860000,0.16825931,0.56963253,0.16825931,-1.13546670,12 ,true
1.65870000,0.16878961,0.57046943,0.16878961,-1.13483660,12 ,true
1.65880000,0.16931620,0.57129692,0.16931620,-1.13421217,12 ,true
1.65890000,0.16983914,0.57211517,0.16983914,-1.13359332,12 ,true
1.65900000,0.17035849,0.57292436,0.17035849,-1.13297993,12 ,true
1.65910000,0.17087434,0.57372467,0.17087434,-1.13237190,12 ,true
1.65920000,0.17138674,0.57451626,0.17138674,-1.13176914,12 ,true
1.65930000,0.17189575,0.57529931,0.17189575,-1.13117155,12 ,true
1.65940000,0.17240144,0.57607397,0.17240144,-1.13057904,12 ,true
1.65950000,0.17290387,0.57684040,0.17290387,-1.12999151,12 ,true
1.65960000,0.17340309,0.57759875,0.17340309,-1.12940889,12 ,true
1.65970000,0.17389915,0.57834916,0.17389915,-1.12883109,12 ,true
1.65980000,0.17439212,0.57909178,0.17439212,-1.12825802,12 ,true
1.65990000,0.17488205,0.57982674,0.17488205,-1.12768960,12 ,true
1.66000000,0.17536898,0.58055419,0.17536898,-1.12712576,12 ,true
1.66010000,0.17585297,0.58127425,0.17585297,-1.12656642,12 ,true
1.66020000,0.17633407,0.58198704,0.17633407,-1.12601150,12 ,true
1.66030000,0.17681233,0.58269271,0.17681233,-1.12546094,12 ,true
1.66040000,0.17728778,0.58339136,0.17728778,-1.12491466,12 ,true
1.66050000,0.17776048,0.58408312,0.17776048,-1.12437260,12 ,true
1.66060000,0.17823047,0.58476809,0.17823047,-1.12383468,12 ,true
1.66070000,0.17869779,0.58544640,0.17869779,-1.12330084,12 ,true
1.66080000,0.17916249,0.58611815,0.17916249,-1.12277102,12 ,true
1.66090000,0.17962460,0.58678345,0.17962460,-1.12224516,12 ,true
1.66100000,0.18008417,0.58744240,0.18008417,-1.12172320,12 ,true
1.66110000,0.18054124,0.58809511,0.18054124,-1.12120507,12 ,true
1.66120000,0.18099583,0.58874167,0.18099583,-1.12069072,12 ,true
1.66130000,0.18144800,0.58938218,0.18144800,-1.12018009,12 ,true
1.66140000,0.18189777,0.59001674,0.18189777,-1.11967314,12 ,true
1.66150000,0.18234518,0.59064543,0.18234518,-1.11916979,12 ,true
1.66160000,0.18279027,0.59126835,0.18279027,-1.11867001,12 ,true
1.66170000,0.18323307,0.59188559,0.18323307,-1.11817374,12 ,true
1.66180000,0.18367362,0.59249723,0.18367362,-1.11768093,12 ,true
1.66190000,0.18411193,0.59310336,0.18411193,-1.11719153,12 ,true
1.66200000,0.18454806,0.59370406,0.18454806,-1.11670550,12 ,true
1.66210000,0.18498202,0.59429940,0.18498202,-1.11622278,12 ,true
1.66220000,0.18541385,0.59488947,0.18541385,-1.11574333,12 ,true
1.66230000,0.18584358,0.59547435,0.18584358,-1.11526711,12 ,true
1.66240000,0.18627123,0.59605410,0.18627123,-1.11479408,12 ,true
1.66250000,0.18669684,0.59662881,0.18669684,-1.11432418,12 ,true
1.66260000,0.18712043,0.59719854,0.18712043,-1.11385737,12 ,true
1.66270000,0.18754203,0.59776337,0.18754203,-1.11339363,12 ,true
1.66280000,0.18796166,0.59832336,0.18796166,-1.11293290,12 ,true
1.66290000,0.18837936,0.59887859,0.18837936,-1.11247515,12 ,true
1.66300000,0.18879514,0.59942911,0.18879514,-1.11202033,12 ,true
1.66310000,0.18920904,0.59997500,0.18920904,-1.11156842,12 ,true
1.66320000,0.18962107,0.60051632,0.18962107,-1.11111937,12 ,true
1.66330000,0.19003126,0.60105312,0.19003126,-1.11067314,12 ,true
1.66340000,0.19043964,0.60158547,0.19043964,-1.11022971,12 ,true
1.66350000,0.19084623,0.60211343,0.19084623,-1.10978903,12 ,true
1.66360000,0.19125104,0.60263706,0.19125104,-1.10935107,12 ,true
1.66370000,0.19165411,0.60315641,0.19165411,-1.10891580,12 ,true
1.66380000,0.19205545,0.60367155,0.19205545,-1.10848319,12 ,true
1.66390000,0.19245508,0.60418252,0.19245508,-1.10805320,12 ,true
1.66400000,0.19285303,0.60468938,0.19285303,-1.10762580,12 ,true
