tc,beta,r_squared,slope,intercept,fit_points,is_valid
2.25000000,0.29482497,0.89888613,0.29482497,0.10873911,11 ,true
2.25010000,0.09160700,0.62704750,0.09160700,-0.16362029,12 ,true
2.25020000,0.10149276,0.65085633,0.10149276,-0.14922259,12 ,true
2.25030000,0.10819082,0.66641252,0.10819082,-0.13956105,12 ,true
2.25040000,0.11342632,0.67824641,0.11342632,-0.13206494,12 ,true
2.25050000,0.11779611,0.68790297,0.11779611,-0.12584768,12 ,true
2.25060000,0.12158466,0.69611119,0.12158466,-0.12048765,12 ,true
2.25070000,0.12495193,0.70327778,0.12495193,-0.11574811,12 ,true
2.25080000,0.12799769,0.70965469,0.12799769,-0.11148163,12 ,true
2.25090000,0.13078874,0.71540972,0.13078874,-0.10758960,12 ,true
2.25100000,0.13337222,0.72066066,0.13337222,-0.10400249,12 ,true
2.25110000,0.13578278,0.72549367,0.13578278,-0.10066925,12 ,true
2.25120000,0.13804668,0.72997383,0.13804668,-0.09755122,12 ,true
2.25130000,0.14018436,0.73415157,0.14018436,-0.09461831,12 ,true
2.25140000,0.14221208,0.73806687,0.14221208,-0.09184662,12 ,true
2.25150000,0.14414299,0.74175199,0.14414299,-0.08921681,12 ,true
2.25160000,0.14598790,0.74523335,0.14598790,-0.08671299,12 ,true
2.25170000,0.14775583,0.74853292,0.14775583,-0.08432194,12 ,true
2.25180000,0.14945437,0.75166916,0.14945437,-0.08203250,12 ,true
2.25190000,0.15108999,0.75465775,0.15108999,-0.07983518,12 ,true
2.25200000,0.15266825,0.75751213,0.15266825,-0.07772183,12 ,true
2.25210000,0.15419396,0.76024391,0.15419396,-0.07568539,12 ,true
2.25220000,0.15567133,0.76286322,0.15567133,-0.07371970,12 ,true
2.25230000,0.15710403,0.76537891,0.15710403,-0.07181935,12 ,true
2.25240000,0.15849534,0.76779881,0.15849534,-0.06997957,12 ,true
2.25250000,0.15984815,0.77012985,0.15984815,-0.06819611,12 ,true
2.25260000,0.16116505,0.77237821,0.16116505,-0.06646518,12 ,true
2.25270000,0.16244836,0.77454942,0.16244836,-0.06478338,12 ,true
2.25280000,0.16370018,0.77664846,0.16370018,-0.06314766,12 ,true
2.25290000,0.16492238,0.77867982,0.16492238,-0.06155524,12 ,true
2.25300000,0.16611669,0.78064757,0.16611669,-0.06000361,12 ,true
2.25310000,0.16728467,0.78255541,0.16728467,-0.05849048,12 ,true
2.25320000,0.16842775,0.78440672,0.16842775,-0.05701377,12 ,true
2.25330000,0.16954725,0.78620459,0.16954725,-0.05557156,12 ,true
2.25340000,0.17064435,0.78795185,0.17064435,-0.05416208,12 ,true
2.25350000,0.17172017,0.78965111,0.17172017,-0.05278373,12 ,true
2.25360000,0.17277573,0.79130478,0.17277573,-0.05143501,12 ,true
2.25370000,0.17381199,0.79291508,0.17381199,-0.05011452,12 ,true
2.25380000,0.17482981,0.79448407,0.17482981,-0.04882098,12 ,true
2.25390000,0.17583002,0.79601365,0.17583002,-0.04755321,12 ,true
2.25400000,0.17681338,0.79750562,0.17681338,-0.04631008,12 ,true
2.25410000,0.17778059,0.79896161,0.17778059,-0.04509057,12 ,true
2.25420000,0.17873232,0.80038319,0.17873232,-0.04389370,12 ,true
2.25430000,0.17966919,0.80177180,0.17966919,-0.04271856,12 ,true
2.25440000,0.18059179,0.80312879,0.18059179,-0.04156430,12 ,true
2.25450000,0.18150066,0.80445543,0.18150066,-0.04043012,12 ,true
2.25460000,0.18239631,0.80575292,0.18239631,-0.03931527,12 ,true
2.25470000,0.18327923,0.80702238,0.18327923,-0.03821905,12 ,true
2.25480000,0.18414988,0.80826487,0.18414988,-0.03714077,12 ,true
2.25490000,0.18500869,0.80948138,0.18500869,-0.03607983,12 ,true
2.25500000,0.18585607,0.81067286,0.18585607,-0.03503561,12 ,true
2.25510000,0.18669239,0.81184021,0.18669239,-0.03400755,12 ,true
2.25520000,0.18751804,0.81298425,0.18751804,-0.03299512,12 ,true
2.25530000,0.18833336,0.81410579,0.18833336,-0.03199781,12 ,true
2.25540000,0.18913867,0.81520560,0.18913867,-0.03101515,12 ,true
2.25550000,0.18993429,0.81628438,0.18993429,-0.03004666,12 ,true
2.25560000,0.19072052,0.81734282,0.19072052,-0.02909192,12 ,true
2.25570000,0.19149764,0.81838157,0.19149764,-0.02815052,12 ,true
2.25580000,0.19226592,0.81940126,0.19226592,-0.02722205,12 ,true
2.25590000,0.19302562,0.82040247,0.19302562,-0.02630615,12 ,true
2.25600000,0.19377699,0.82138576,0.19377699,-0.02540244,12 ,true
2.25610000,0.19452025,0.82235167,0.19452025,-0.02451059,12 ,true
2.25620000,0.19525565,0.82330072,0.19525565,-0.02363027,12 ,true
2.25630000,0.19598339,0.82423339,0.19598339,-0.02276117,12 ,true
2.25640000,0.19670367,0.82515015,0.19670367,-0.02190298,12 ,true
2.25650000,0.19741670,0.82605146,0.19741670,-0.02105541,12 ,true
2.25660000,0.19812267,0.82693773,0.19812267,-0.02021819,12 ,true
2.25670000,0.19882175,0.82780940,0.19882175,-0.01939106,12 ,true
2.25680000,0.19951413,0.82866684,0.19951413,-0.01857375,12 ,true
2.25690000,0.20019996,0.82951045,0.20019996,-0.01776602,12 ,true
2.25700000,0.20087941,0.83034057,0.20087941,-0.01696765,12 ,true
2.25710000,0.20155264,0.83115758,0.20155264,-0.01617839,12 ,true
2.25720000,0.20221979,0.83196179,0.20221979,-0.01539804,12 ,true
2.25730000,0.20288101,0.83275354,0.20288101,-0.01462638,12 ,true
2.25740000,0.20353644,0.83353313,0.20353644,-0.01386322,12 ,true
2.25750000,0.20418621,0.83430087,0.20418621,-0.01310835,12 ,true
2.25760000,0.20483044,0.83505705,0.20483044,-0.01236159,12 ,true
2.25770000,0.20546927,0.83580194,0.20546927,-0.01162276,12 ,true
