temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.30212000,0.02138722,0.28834037,0.35873834
1.05000000,-1.29219778,0.01731333,0.30080393,0.32240687
1.10000000,-1.26079778,0.02052889,0.34095057,0.35275275
1.15000000,-1.25706556,0.02218944,0.31875865,0.41180759
1.20000000,-1.21922444,0.02004000,0.33540442,0.37054002
1.25000000,-1.19595444,0.01803833,0.36667551,0.34537890
1.30000000,-1.18083556,0.02150500,0.37926750,0.41823239
1.35000000,-1.17231556,0.02013611,0.40292245,0.37196402
1.40000000,-1.14572778,0.01939833,0.39676090,0.35560365
1.45000000,-1.12237667,0.02200167,0.41952550,0.40970022
1.50000000,-1.10679111,0.02101278,0.37947796,0.39809891
1.55000000,-1.08755778,0.02009889,0.40676648,0.35503890
1.60000000,-1.06273778,0.02200000,0.39608401,0.38249404
1.65000000,-1.04101444,0.02186000,0.41880035,0.39371443
1.70000000,-1.02174778,0.02115667,0.40033155,0.36345292
1.75000000,-1.00900889,0.02156111,0.40275740,0.37013681
1.80000000,-0.99345000,0.02117278,0.37608390,0.34157836
1.85000000,-0.96410000,0.02144333,0.38749931,0.34184277
1.90000000,-0.94286444,0.02174611,0.36887618,0.34878066
1.95000000,-0.92914778,0.02169944,0.36866425,0.34365252
2.00000000,-0.91115889,0.02184444,0.34767826,0.33142795
2.05000000,-0.89764222,0.02173667,0.34258277,0.32247585
2.10000000,-0.87778000,0.02183722,0.33943045,0.31490985
2.15000000,-0.85808111,0.02225278,0.33491086,0.32281582
2.20000000,-0.84589111,0.02144389,0.31456169,0.29415647
2.25000000,-0.82757111,0.02170722,0.30002548,0.29223900
2.30000000,-0.81029333,0.02209444,0.29817569,0.29548828
2.35000000,-0.80408000,0.02222222,0.29965873,0.29585475
2.40000000,-0.78102222,0.02232056,0.27684623,0.28986270
2.45000000,-0.76770889,0.02179167,0.26559239,0.27573276
2.50000000,-0.75290556,0.02199556,0.25712321,0.27429805
2.55000000,-0.73924000,0.02270111,0.23711233,0.28407042
2.60000000,-0.73385778,0.02268167,0.25367019,0.27684039
2.65000000,-0.71890667,0.02207722,0.23625148,0.26260965
2.70000000,-0.70698222,0.02221111,0.23101029,0.25734299
2.75000000,-0.69761111,0.02352444,0.22669893,0.27873784
2.80000000,-0.68596556,0.02303389,0.21785730,0.26582747
2.85000000,-0.67525889,0.02248722,0.21465056,0.25145449
2.90000000,-0.66235889,0.02299111,0.20579272,0.25677948
2.95000000,-0.65212333,0.02258833,0.19796776,0.24599208
3.00000000,-0.64298778,0.02272222,0.19848921,0.23740477
3.05000000,-0.63234000,0.02296333,0.19601056,0.24799612
3.10000000,-0.62227000,0.02328167,0.18176533,0.24432508
3.15000000,-0.61309111,0.02270056,0.17818711,0.22967594
3.20000000,-0.60690111,0.02359667,0.17878861,0.24420234
3.25000000,-0.59766667,0.02333000,0.16992257,0.24005059
3.30000000,-0.58773889,0.02324389,0.16551807,0.22858302
3.35000000,-0.57977667,0.02313389,0.16624576,0.22664003
3.40000000,-0.57227778,0.02326667,0.15070169,0.22266492
3.45000000,-0.56592111,0.02329444,0.15078097,0.22185098
3.50000000,-0.55624889,0.02343167,0.15163830,0.22373769
3.55000000,-0.54847667,0.02339889,0.14603245,0.21692119
3.60000000,-0.54203000,0.02359889,0.14450275,0.21529473
3.65000000,-0.53563556,0.02351000,0.13805861,0.21370637
3.70000000,-0.52543111,0.02368833,0.13141485,0.21540951
3.75000000,-0.52145556,0.02394056,0.12959709,0.21542017
3.80000000,-0.51500889,0.02348778,0.12701095,0.20704573
3.85000000,-0.50789556,0.02362667,0.12816456,0.20408860
3.90000000,-0.50088000,0.02382889,0.11632777,0.20177031
3.95000000,-0.49505333,0.02398167,0.11912523,0.20391827
4.00000000,-0.48851222,0.02317889,0.11472272,0.19022371
