temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
0.01000000,-1.45521933,0.13505478,9.76777778,38.96194056
0.06000000,-1.45650178,0.11504478,0.23441432,4.99405276
0.11000000,-1.45791667,0.15444822,0.03020702,3.66299851
0.16000000,-1.45950222,0.15351856,0.13631229,2.27722129
0.21000000,-1.46174467,0.10028744,0.02316753,1.66828920
0.26000000,-1.45438489,0.11525689,0.04096526,1.78334046
0.31000000,-1.46408467,0.13335300,0.02577821,1.20288265
0.36000000,-1.45854289,0.14378089,0.00463692,0.87989679
0.41000000,-1.45753089,0.17167811,0.01541707,1.06329040
0.46000000,-1.45996156,0.12442822,0.03384394,0.73090384
0.51000000,-1.46294844,0.15023322,0.03975873,1.10833023
0.56000000,-1.46660822,0.15619144,0.04864899,1.09788725
0.61000000,-1.46333200,0.15695344,0.08154048,1.45345517
0.66000000,-1.46306978,0.13842400,0.09663468,1.28553664
0.71000000,-1.45977911,0.22644278,0.10625493,1.49193949
0.76000000,-1.45918667,0.20674233,0.14229276,1.87451166
0.81000000,-1.45214044,0.18013678,0.15201131,2.02081892
0.86000000,-1.45110689,0.18921611,0.17171687,2.51680766
0.91000000,-1.43796178,0.17997922,0.20556935,2.27413675
0.96000000,-1.43571600,0.21367322,0.23244082,2.70317552
1.01000000,-1.41715533,0.15064878,0.25001989,4.58583373
1.06000000,-1.41025022,0.20409889,0.27997950,3.76785575
1.11000000,-1.38796422,0.22248189,0.32731262,4.79163717
1.16000000,-1.37782667,0.14338089,0.33032813,3.81278692
1.21000000,-1.35407600,0.19703433,0.37912231,5.54774135
1.26000000,-1.33418578,0.15576333,0.39153352,6.94951390
1.31000000,-1.31587578,0.15900711,0.41827863,8.05945103
1.36000000,-1.29653800,0.17095711,0.44997789,8.89937187
1.41000000,-1.27306244,0.12177944,0.46494018,5.96662910
1.46000000,-1.24818911,0.13046744,0.47140063,7.17078723
1.51000000,-1.22111200,0.11216067,0.48137943,7.64130862
1.56000000,-1.19819600,0.12400178,0.50120841,9.08357661
1.61000000,-1.17014489,0.09507467,0.50013528,6.56315738
1.66000000,-1.14383133,0.10470444,0.48981180,8.08519411
1.71000000,-1.12446067,0.09271556,0.48422542,6.10857797
1.76000000,-1.10141156,0.09151956,0.49150017,5.93269020
1.81000000,-1.07816578,0.08400989,0.46669198,5.03755841
1.86000000,-1.05796644,0.08966256,0.45241601,5.35607731
1.91000000,-1.03625822,0.08262478,0.46883797,4.66400471
1.96000000,-1.00538200,0.08100378,0.44153293,4.37364675
2.01000000,-0.98131000,0.07687356,0.43353360,3.99070412
2.06000000,-0.96417622,0.07240633,0.41761137,3.44145068
2.11000000,-0.94368378,0.07177211,0.40121839,3.37905141
2.16000000,-0.92201267,0.06903200,0.40244246,2.99423393
2.21000000,-0.90522533,0.06734100,0.38896511,2.87839367
2.26000000,-0.88570800,0.06581489,0.36253207,2.64831921
2.31000000,-0.87084244,0.06446900,0.35389210,2.47545746
2.36000000,-0.85072978,0.06309656,0.34647428,2.32600456
2.41000000,-0.83654311,0.06045222,0.33611987,2.13292097
2.46000000,-0.81565889,0.05793244,0.32559964,1.88020747
2.51000000,-0.80046089,0.05761522,0.30580643,1.82570087
2.56000000,-0.78383578,0.05526889,0.29860455,1.66087089
2.61000000,-0.76926289,0.05473867,0.28844391,1.60457905
2.66000000,-0.75553333,0.05407822,0.27867677,1.54224991
2.71000000,-0.74172756,0.05237222,0.26656765,1.42227751
2.76000000,-0.72965178,0.05287278,0.25936252,1.41265721
2.81000000,-0.71578600,0.05111700,0.25662354,1.30696027
2.86000000,-0.70361111,0.05020433,0.24640158,1.23060615
2.91000000,-0.69014911,0.04938000,0.23272165,1.17043480
2.96000000,-0.68158489,0.04946256,0.23207922,1.15003944
3.01000000,-0.66840800,0.04803878,0.22558670,1.07481920
3.06000000,-0.65653133,0.04718000,0.21653970,1.02071267
3.11000000,-0.64641222,0.04766000,0.20671245,1.03252648
3.16000000,-0.63729044,0.04626511,0.19835839,0.94726446
3.21000000,-0.62632867,0.04636444,0.19728675,0.93289045
3.26000000,-0.61909778,0.04628244,0.19144283,0.92273854
3.31000000,-0.60698000,0.04415256,0.18349947,0.83105086
3.36000000,-0.59792400,0.04433878,0.17990211,0.82303277
3.41000000,-0.59146378,0.04478933,0.17635706,0.83226820
3.46000000,-0.58232222,0.04479467,0.16940008,0.80841383
3.51000000,-0.57301800,0.04343156,0.16387899,0.75696319
3.56000000,-0.56427400,0.04294867,0.16153389,0.72802456
3.61000000,-0.55796756,0.04214278,0.15397697,0.69186780
3.66000000,-0.55038733,0.04181522,0.15033208,0.67786036
