temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.30412444,0.02409167,0.28657865,0.50985837
1.05000000,-1.27474222,0.02670389,0.27527750,0.63389775
1.10000000,-1.27109889,0.02949111,0.28972101,0.56878002
1.15000000,-1.25388556,0.02669056,0.33170119,0.68454797
1.20000000,-1.23181667,0.02874556,0.37159186,0.73170949
1.25000000,-1.21058000,0.02546722,0.37485255,0.63196700
1.30000000,-1.19139111,0.02516222,0.40794346,0.61047012
1.35000000,-1.16843222,0.02712056,0.40041655,0.63904231
1.40000000,-1.14553222,0.02792722,0.41732061,0.70887001
1.45000000,-1.12521222,0.02969722,0.42677902,0.75338315
1.50000000,-1.11223000,0.02574222,0.41420902,0.58863476
1.55000000,-1.08210111,0.02671500,0.38374317,0.61061731
1.60000000,-1.06321000,0.02790556,0.40645130,0.61785445
1.65000000,-1.04183556,0.02834778,0.41511544,0.66619844
1.70000000,-1.01718333,0.02776556,0.38445000,0.64012464
1.75000000,-0.99676000,0.02756778,0.37062907,0.59808428
1.80000000,-0.98758556,0.02650889,0.39213032,0.55864274
1.85000000,-0.96395556,0.02855000,0.37419201,0.60390474
1.90000000,-0.94524111,0.02768111,0.37331832,0.56269053
1.95000000,-0.92796667,0.02671778,0.35908255,0.51634166
2.00000000,-0.91117222,0.02713056,0.34981257,0.51087844
2.05000000,-0.89011222,0.02785833,0.34330069,0.50303921
2.10000000,-0.87257667,0.02767167,0.32766391,0.51012800
2.15000000,-0.85829111,0.02712833,0.30711259,0.47769830
2.20000000,-0.84313667,0.02741333,0.31903281,0.47057424
2.25000000,-0.83247222,0.02752611,0.32098756,0.47396379
2.30000000,-0.81418778,0.02730056,0.30283095,0.44850723
2.35000000,-0.79749222,0.02793389,0.28684288,0.45777657
2.40000000,-0.78622222,0.02669556,0.26316950,0.42071281
2.45000000,-0.77143333,0.02754222,0.26171372,0.43075240
2.50000000,-0.75659667,0.02752111,0.26448564,0.41951761
2.55000000,-0.74631778,0.02756944,0.25421724,0.41431954
2.60000000,-0.73507556,0.02782500,0.24678392,0.42009087
2.65000000,-0.71941778,0.02721667,0.23868342,0.39741171
2.70000000,-0.70575000,0.02747167,0.23249845,0.39297013
2.75000000,-0.69678000,0.02758056,0.22528202,0.38806904
2.80000000,-0.68291778,0.02784500,0.21935944,0.39540141
2.85000000,-0.67340556,0.02768167,0.21485144,0.37538538
2.90000000,-0.66166778,0.02725111,0.21199615,0.35460415
2.95000000,-0.65466333,0.02690111,0.20527931,0.34182779
3.00000000,-0.64213000,0.02721389,0.18933816,0.35312602
3.05000000,-0.63019889,0.02753500,0.19171766,0.34446475
3.10000000,-0.62302667,0.02749500,0.18744507,0.34162568
3.15000000,-0.61541889,0.02737333,0.18427365,0.33254767
3.20000000,-0.60560222,0.02744278,0.17343267,0.33277109
3.25000000,-0.59685444,0.02691722,0.16965979,0.31220530
3.30000000,-0.58677556,0.02727056,0.16480317,0.32064619
3.35000000,-0.57739778,0.02772667,0.16100915,0.31992097
3.40000000,-0.57120778,0.02609500,0.16061225,0.28867526
3.45000000,-0.56586444,0.02741056,0.15783166,0.30850276
3.50000000,-0.55475111,0.02752000,0.15252008,0.29902010
3.55000000,-0.54880000,0.02617556,0.14692652,0.27115577
3.60000000,-0.54256556,0.02730556,0.14240806,0.29607106
3.65000000,-0.53219222,0.02724111,0.14087328,0.28458153
3.70000000,-0.52487667,0.02697056,0.13839102,0.27368438
3.75000000,-0.51975111,0.02688500,0.12997040,0.27207483
3.80000000,-0.51606333,0.02704667,0.12709855,0.27136321
3.85000000,-0.50845333,0.02689944,0.12222953,0.26066455
3.90000000,-0.50338556,0.02713944,0.12315722,0.26429251
3.95000000,-0.49596444,0.02675889,0.12357648,0.25674960
4.00000000,-0.48850444,0.02728556,0.11630732,0.26232496
