temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
0.01000000,-1.41119089,0.08462800,11.22688889,26.60080231
0.06000000,-1.40815978,0.10156778,0.25812864,5.90969777
0.11000000,-1.40758778,0.08574689,0.06950266,2.97883807
0.16000000,-1.40843400,0.08970111,0.01732135,1.89974253
0.21000000,-1.40953756,0.07904456,0.08856109,1.42891217
0.26000000,-1.40989889,0.07356333,0.00461729,1.17260330
0.31000000,-1.40435022,0.11003056,0.00663803,0.93626420
0.36000000,-1.41220333,0.07752611,0.00832278,0.84184961
0.41000000,-1.40265933,0.09124200,0.01484599,0.73237805
0.46000000,-1.40290044,0.08758778,0.03095292,0.89376887
0.51000000,-1.40590400,0.10005822,0.03702625,0.94306129
0.56000000,-1.40924711,0.09468778,0.06221677,0.93310424
0.61000000,-1.40958978,0.09349867,0.08168587,1.13648969
0.66000000,-1.40488133,0.09195067,0.10485716,1.33071935
0.71000000,-1.40804422,0.11791933,0.12528344,1.16657418
0.76000000,-1.40569289,0.09931044,0.15207373,1.82986599
0.81000000,-1.40186000,0.10853400,0.16434154,1.39265409
0.86000000,-1.38354222,0.09048833,0.20600379,2.14917244
0.91000000,-1.37366400,0.07043433,0.22628507,1.73564312
0.96000000,-1.36499511,0.08450333,0.25182959,2.45474517
1.01000000,-1.34942822,0.07727178,0.28246605,2.52609633
1.06000000,-1.33847689,0.08140267,0.32843071,2.44644477
1.11000000,-1.31517689,0.09226944,0.32000113,2.88277708
1.16000000,-1.30469956,0.08983111,0.36720089,3.57903657
1.21000000,-1.27822244,0.07889600,0.38195566,3.74614857
1.26000000,-1.25892600,0.09175267,0.38831788,4.48142518
1.31000000,-1.23685556,0.07038833,0.41430150,3.86001881
1.36000000,-1.21919556,0.07816211,0.42549083,4.91179062
1.41000000,-1.19598600,0.08056044,0.42982347,4.73936396
1.46000000,-1.16947467,0.07332867,0.43950376,4.00846835
1.51000000,-1.15488978,0.06799778,0.43392478,3.49557400
1.56000000,-1.11417556,0.06377456,0.45185341,3.39608016
1.61000000,-1.10311267,0.06797789,0.43757706,3.59539967
1.66000000,-1.08226044,0.06366900,0.42428392,3.29464997
1.71000000,-1.06563200,0.06430311,0.44661325,3.08649303
1.76000000,-1.04014911,0.06380144,0.41992649,3.03193591
1.81000000,-1.01997067,0.05894122,0.41562639,2.61435590
1.86000000,-0.99888756,0.05882322,0.41211187,2.53812558
1.91000000,-0.97705311,0.05720967,0.40433863,2.29607956
1.96000000,-0.95476178,0.05618200,0.40344091,2.20240420
2.01000000,-0.93612178,0.05555856,0.37836131,2.12831563
2.06000000,-0.92177200,0.05738111,0.38088311,2.18076676
2.11000000,-0.89891200,0.05247889,0.35167573,1.82523947
2.16000000,-0.88269200,0.05358578,0.34251798,1.84974040
2.21000000,-0.86754156,0.05262756,0.33801292,1.74694993
2.26000000,-0.85001378,0.05000867,0.32895487,1.55759606
2.31000000,-0.83525000,0.05080044,0.32390569,1.53120250
2.36000000,-0.81628267,0.04922789,0.30819552,1.43185428
2.41000000,-0.80661600,0.04895278,0.30260857,1.38973469
2.46000000,-0.78463889,0.04685133,0.28694391,1.23477871
2.51000000,-0.77628956,0.04734022,0.28168163,1.25135326
2.56000000,-0.76072333,0.04568156,0.27241803,1.12707999
2.61000000,-0.74806933,0.04565600,0.26550884,1.11584334
2.66000000,-0.73224067,0.04393189,0.25974572,1.01429588
2.71000000,-0.72190822,0.04418611,0.24975588,1.00351592
2.76000000,-0.70890956,0.04424278,0.23926574,0.99909319
2.81000000,-0.69876844,0.04389367,0.23571937,0.95586223
2.86000000,-0.68513844,0.04334467,0.22902160,0.91380088
2.91000000,-0.67474978,0.04269200,0.22342433,0.87796065
2.96000000,-0.66223222,0.04224300,0.21433896,0.84373798
3.01000000,-0.65116889,0.04179111,0.20946823,0.81520534
3.06000000,-0.64236444,0.04204511,0.19753610,0.80702587
3.11000000,-0.63045200,0.04161367,0.19200644,0.77852799
3.16000000,-0.62143911,0.04102289,0.18584147,0.74578749
3.21000000,-0.61422978,0.04093567,0.18142635,0.73610905
3.26000000,-0.60315467,0.03972133,0.17492822,0.68155706
3.31000000,-0.59615156,0.04032256,0.16959708,0.68680221
3.36000000,-0.58712400,0.04006678,0.16927869,0.66878167
3.41000000,-0.58009644,0.03968333,0.16599389,0.64921345
3.46000000,-0.57002933,0.03887400,0.16288944,0.61192853
3.51000000,-0.56284378,0.03857333,0.15532953,0.60086051
3.56000000,-0.55461511,0.03854956,0.15235858,0.58588302
3.61000000,-0.54646911,0.03828133,0.14797484,0.56978718
3.66000000,-0.53993644,0.03803744,0.14383107,0.55843244
