temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
0.01000000,-1.67058800,0.26960844,2.03274667,21.94591867
0.06000000,-1.68174444,0.36779444,1.35395062,5.30205627
0.11000000,-1.67490867,0.35649611,0.01798340,2.33868416
0.16000000,-1.68643756,0.42592867,1.92017122,6.78589857
0.21000000,-1.67600000,0.32418111,0.00000000,1.08122735
0.26000000,-1.68429800,0.35059844,0.04479578,1.15023971
0.31000000,-1.68333644,0.39091033,0.02279753,1.08377233
0.36000000,-1.67222444,0.31189711,0.08192912,1.23630824
0.41000000,-1.67731956,0.38090100,0.11944111,1.13924320
0.46000000,-1.67424622,0.32151956,0.19395251,2.63140676
0.51000000,-1.67667511,0.33153678,0.03980821,0.99582681
0.56000000,-1.70083067,0.47363067,0.06931116,0.99438589
0.61000000,-1.70005000,0.41562111,0.15318805,2.39264786
0.66000000,-1.70402000,0.52227544,0.10441062,2.14669110
0.71000000,-1.69093378,0.41655689,0.15911889,3.46292765
0.76000000,-1.69788644,0.44486911,0.15882298,3.30583868
0.81000000,-1.69823867,0.47842233,0.12961266,2.78860354
0.86000000,-1.70628933,0.54044567,0.19516163,4.42422377
0.91000000,-1.70900644,0.66382222,0.12952547,2.71157009
0.96000000,-1.69778800,0.52040433,0.16265675,3.02090560
1.01000000,-1.71363689,0.76649700,0.15833962,3.13803604
1.06000000,-1.69098644,0.59211600,0.18081641,2.91490786
1.11000000,-1.68361489,0.63650711,0.29358925,5.47368243
1.16000000,-1.69679156,0.78700300,0.26296202,2.85336827
1.21000000,-1.68584978,0.74738678,0.24439235,1.90867641
1.26000000,-1.66288200,0.66980667,0.34538779,5.46968675
1.31000000,-1.65867778,0.67850122,0.37717698,5.36296526
1.36000000,-1.63634756,0.65373133,0.46885892,10.95084869
1.41000000,-1.64082200,0.76767844,0.38666173,3.23026250
1.46000000,-1.61136067,0.69118667,0.45832734,6.43595373
1.51000000,-1.59599844,0.76938733,0.56903789,9.22633242
1.56000000,-1.57429044,0.69930956,0.55772921,5.32390710
1.61000000,-1.55778533,0.75279400,0.54865259,4.43348556
1.66000000,-1.53474178,0.77465200,0.63132209,4.54595084
1.71000000,-1.49270867,0.69343533,0.68554087,4.19388383
1.76000000,-1.45236533,0.64029900,0.83341586,9.87778119
1.81000000,-1.41799867,0.60952656,0.80309112,8.34356339
1.86000000,-1.37317067,0.56840333,0.90621589,13.26897531
1.91000000,-1.31285356,0.40404733,0.94736520,28.14469817
1.96000000,-1.27002822,0.34637478,0.80371326,17.54791604
2.01000000,-1.22801867,0.27541078,0.82958186,21.00413056
2.06000000,-1.18719911,0.25236689,0.79482152,24.01569617
2.11000000,-1.14404311,0.20222333,0.69379460,18.12736540
2.16000000,-1.10971200,0.16493411,0.68130998,14.10705915
2.21000000,-1.07599267,0.14628944,0.63476297,12.32420473
2.26000000,-1.04369889,0.12980300,0.58776051,9.41888488
2.31000000,-1.01864244,0.12675889,0.55932819,8.84631743
2.36000000,-0.98988778,0.12065344,0.55032321,8.17158859
2.41000000,-0.96652800,0.10563000,0.50774800,6.09677838
2.46000000,-0.93702511,0.10314367,0.47440668,5.73860709
2.51000000,-0.91329444,0.09687444,0.45544599,4.86871508
2.56000000,-0.89083511,0.09087244,0.43345224,4.35636363
2.61000000,-0.87054756,0.08832189,0.41720812,3.99153405
2.66000000,-0.85343022,0.08345244,0.39897794,3.64576520
2.71000000,-0.83113400,0.08206189,0.38067897,3.41878259
2.76000000,-0.81161200,0.07866600,0.36748718,3.10185595
2.81000000,-0.79484267,0.07691422,0.34330978,2.86007319
2.86000000,-0.77732400,0.06996900,0.33399946,2.35661864
2.91000000,-0.76062978,0.07177222,0.31918153,2.46116954
2.96000000,-0.74610000,0.07057122,0.29752199,2.35413150
3.01000000,-0.73217067,0.06713556,0.28826815,2.08797198
3.06000000,-0.71749200,0.06601756,0.27495501,1.96150364
3.11000000,-0.70265689,0.06271178,0.26899234,1.77170179
3.16000000,-0.68987089,0.06176189,0.25212086,1.67225400
3.21000000,-0.67981400,0.06120933,0.24524131,1.63185409
3.26000000,-0.66648956,0.05898511,0.23453687,1.48284277
3.31000000,-0.65521756,0.05883211,0.23299821,1.45663375
3.36000000,-0.64296000,0.05733589,0.21745919,1.37312171
3.41000000,-0.63307622,0.05694756,0.21414390,1.32504880
3.46000000,-0.62133933,0.05533433,0.20671727,1.23745268
3.51000000,-0.61234933,0.05478711,0.19750152,1.19855831
3.56000000,-0.60262244,0.05456600,0.18874362,1.17507818
3.61000000,-0.59300756,0.05318233,0.18783563,1.09719119
3.66000000,-0.58348711,0.05223444,0.18115427,1.04166845
