temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.94390637,0.76203511,0.04533882,4.78916246
1.05000000,-1.96059304,0.85925993,0.53826734,8.92296471
1.10000000,-1.96517348,0.88497681,0.19591954,5.91538787
1.15000000,-1.95557615,0.87301896,0.36464431,10.64152078
1.20000000,-1.96301452,0.91781785,0.45432019,8.70769004
1.25000000,-1.96949333,0.95507919,0.17314670,1.65897471
1.30000000,-1.96569467,0.95844644,0.11892382,1.39431699
1.35000000,-1.94727348,0.90999511,0.33259971,5.28708264
1.40000000,-1.95006163,0.94236852,0.38252893,5.11762028
1.45000000,-1.94237600,0.94247859,0.30807991,2.36563117
1.50000000,-1.93758756,0.96368474,0.56798702,5.19821507
1.55000000,-1.93445244,0.98236741,0.23381667,0.03729514
1.60000000,-1.92216237,0.97861296,0.26482664,0.04523995
1.65000000,-1.89769393,0.93849133,0.32613291,1.47729821
1.70000000,-1.88946267,0.96474741,0.43154978,1.03016853
1.75000000,-1.87280548,0.96235222,0.39504417,0.09451055
1.80000000,-1.85174948,0.95494459,0.43977988,0.12027944
1.85000000,-1.82824400,0.94618096,0.50371229,0.15789228
1.90000000,-1.80062400,0.93547370,0.56565651,0.21182677
1.95000000,-1.77140785,0.92330948,0.63930115,0.29887369
2.00000000,-1.73621970,0.90745393,0.74092293,0.42516894
2.05000000,-1.69723911,0.88847400,0.82511338,0.57812677
2.10000000,-1.65439526,0.86515600,0.92837819,0.89773061
2.15000000,-1.59532385,0.82083422,1.23455418,3.04947750
2.20000000,-1.52986163,0.76369156,1.41093804,5.65533463
2.25000000,-1.45192326,0.68369170,1.68210441,9.74718785
2.30000000,-1.36881067,0.57577459,1.71357185,27.47226002
2.35000000,-1.28640267,0.46200281,1.49561485,40.05106694
2.40000000,-1.20859052,0.33230259,1.23994831,34.89547082
2.45000000,-1.14958474,0.24313096,0.97306176,25.16212228
2.50000000,-1.10131067,0.21166296,0.87890356,20.52335018
2.55000000,-1.06068919,0.17639741,0.74300283,14.85958294
2.60000000,-1.02288237,0.15594504,0.68988123,12.53336154
2.65000000,-0.99454400,0.14803156,0.66008333,10.66243015
2.70000000,-0.96102711,0.12921585,0.58839076,8.25235918
2.75000000,-0.93165526,0.12185467,0.55504036,7.43754980
2.80000000,-0.90533304,0.10823400,0.49382994,5.74343850
2.85000000,-0.88161585,0.10436896,0.47484911,5.26156702
2.90000000,-0.85821733,0.09929052,0.44935743,4.61360248
2.95000000,-0.83370444,0.09210896,0.41432418,3.99979457
3.00000000,-0.81611244,0.09180363,0.39973355,3.82427211
3.05000000,-0.79657467,0.08678519,0.37279399,3.45584308
3.10000000,-0.77704000,0.08327326,0.35394720,3.09811267
3.15000000,-0.76111452,0.08223548,0.33470836,2.99143204
3.20000000,-0.74374296,0.07729081,0.31900086,2.59303724
3.25000000,-0.72828207,0.07540844,0.31461443,2.42614093
3.30000000,-0.71258326,0.07440896,0.29359396,2.35093315
3.35000000,-0.69799733,0.07113541,0.28366408,2.09428273
3.40000000,-0.68420430,0.06838844,0.26946399,1.92176684
3.45000000,-0.67021422,0.06725400,0.25692983,1.81763439
3.50000000,-0.65892222,0.06608519,0.24427687,1.73246371
3.55000000,-0.64668326,0.06439511,0.23370144,1.62452700
3.60000000,-0.63544059,0.06363141,0.22584136,1.56829693
3.65000000,-0.62389763,0.06235489,0.21774712,1.49149655
3.70000000,-0.61358637,0.06144519,0.20881920,1.42283536
3.75000000,-0.60301556,0.05903319,0.19852583,1.30348147
3.80000000,-0.59284726,0.05787081,0.19714828,1.24103522
3.85000000,-0.58303941,0.05731881,0.18904115,1.20179104
3.90000000,-0.57444770,0.05591785,0.18220816,1.14329108
3.95000000,-0.56605526,0.05529289,0.17721468,1.09024846
4.00000000,-0.55689378,0.05421541,0.17055391,1.02624266
