temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.32105222,0.06778833,0.28506874,1.57540483
1.05000000,-1.31170333,0.05757500,0.31283269,1.63176062
1.10000000,-1.30236667,0.05243889,0.32365989,1.87946213
1.15000000,-1.28026667,0.06118444,0.34696377,2.03357549
1.20000000,-1.24630333,0.06128333,0.35999860,2.57583867
1.25000000,-1.23605556,0.05410500,0.41627964,2.32759038
1.30000000,-1.22006111,0.06863333,0.41006752,2.36776508
1.35000000,-1.20153556,0.05967722,0.41990559,2.95725999
1.40000000,-1.17937222,0.04878444,0.37604650,1.92209081
1.45000000,-1.13458778,0.06259167,0.39852397,3.14719092
1.50000000,-1.12637778,0.05642167,0.42242890,2.66801116
1.55000000,-1.11205889,0.06200722,0.42257786,2.81503020
1.60000000,-1.08269889,0.05384111,0.42521409,2.43358155
1.65000000,-1.06343111,0.05372556,0.42990976,2.18900708
1.70000000,-1.04739556,0.04647667,0.40359050,1.66910650
1.75000000,-1.02119778,0.04590500,0.39860336,1.60750361
1.80000000,-1.01462556,0.05081667,0.39516860,1.73560449
1.85000000,-0.97863333,0.05133556,0.38846423,1.89589282
1.90000000,-0.96985333,0.05053444,0.39477669,1.79253496
1.95000000,-0.94618556,0.04833222,0.38503971,1.60277952
2.00000000,-0.92287889,0.05053278,0.36457480,1.73877702
2.05000000,-0.91014778,0.04727444,0.34647289,1.46067937
2.10000000,-0.88919111,0.04594722,0.34661275,1.39227734
2.15000000,-0.87424333,0.04728444,0.34530621,1.45749907
2.20000000,-0.85326111,0.04649167,0.31577508,1.30807012
2.25000000,-0.84063222,0.04541611,0.31727393,1.19123595
2.30000000,-0.82423667,0.04233000,0.30815341,1.07309228
2.35000000,-0.81136667,0.04429167,0.30323372,1.18728286
2.40000000,-0.79995667,0.04302222,0.29589131,1.07866558
2.45000000,-0.78515667,0.04391167,0.27476630,1.09927908
2.50000000,-0.76957333,0.04298056,0.27336578,1.04641596
2.55000000,-0.75110889,0.04134167,0.27968666,0.91389224
2.60000000,-0.74255000,0.04237611,0.26412080,0.94926376
2.65000000,-0.72242000,0.04117722,0.25282949,0.90560747
2.70000000,-0.71685667,0.04020389,0.24838444,0.84249112
2.75000000,-0.70174778,0.04044778,0.23191759,0.81840980
2.80000000,-0.69122667,0.04026111,0.22923895,0.81272045
2.85000000,-0.68388556,0.03921056,0.22245774,0.76688810
2.90000000,-0.67091000,0.03914833,0.21168944,0.73566220
2.95000000,-0.65893333,0.03890444,0.20949639,0.71810744
3.00000000,-0.64927000,0.03744611,0.20422890,0.66968239
3.05000000,-0.63919111,0.03856056,0.18764019,0.68303856
3.10000000,-0.62826667,0.03753278,0.18088467,0.63398033
3.15000000,-0.61814111,0.03723556,0.18183486,0.61246149
3.20000000,-0.61324889,0.03669444,0.17821859,0.59235009
3.25000000,-0.60093556,0.03830222,0.17742818,0.63535487
3.30000000,-0.58965889,0.03643389,0.16354693,0.56562040
3.35000000,-0.58478222,0.03746778,0.16382701,0.59003706
3.40000000,-0.57655111,0.03681333,0.16151920,0.55320735
3.45000000,-0.56848333,0.03659889,0.15259082,0.54769807
3.50000000,-0.55985667,0.03735333,0.15069870,0.55465983
3.55000000,-0.55169444,0.03623444,0.15558961,0.51680693
3.60000000,-0.54706667,0.03679611,0.13893570,0.52971880
3.65000000,-0.53681111,0.03641444,0.14569161,0.51158953
3.70000000,-0.53080556,0.03586333,0.13969205,0.48607020
3.75000000,-0.52707778,0.03530778,0.13173802,0.46918759
3.80000000,-0.51564333,0.03468500,0.13315980,0.44226603
3.85000000,-0.51105778,0.03464167,0.12874575,0.43828568
3.90000000,-0.50500111,0.03508500,0.12192623,0.43499054
3.95000000,-0.49525333,0.03442167,0.12075907,0.42022985
4.00000000,-0.49213778,0.03422667,0.11791505,0.41250396
