temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
1.00000000,-1.86460333,0.73859189,0.06885385,1.83612973
1.05000000,-1.89370822,0.93460344,0.18045715,1.52645275
1.10000000,-1.88434511,0.87840056,0.08413679,0.94722488
1.15000000,-1.85978933,0.77303744,0.23920680,4.83166802
1.20000000,-1.82953089,0.60377733,0.23335360,6.20775393
1.25000000,-1.86031644,0.81639233,0.13543685,1.50297104
1.30000000,-1.87790156,0.96139667,0.39035582,5.05658546
1.35000000,-1.86563511,0.92969333,0.38990623,8.03756392
1.40000000,-1.83850978,0.84440511,0.32285571,6.88550245
1.45000000,-1.82972356,0.84129544,0.30888190,2.32164990
1.50000000,-1.83600800,0.92797456,0.25469386,0.20620544
1.55000000,-1.81679933,0.89524322,0.38519645,4.09640586
1.60000000,-1.79172489,0.85607756,0.44941990,3.47993356
1.65000000,-1.78687978,0.90664533,0.38137877,0.90089522
1.70000000,-1.77274533,0.93290956,0.52008313,1.27090471
1.75000000,-1.74455022,0.90397111,0.60581854,4.09778555
1.80000000,-1.71418378,0.87299756,0.68686232,6.09172589
1.85000000,-1.69255533,0.89619811,0.64258596,0.60055466
1.90000000,-1.66591756,0.88316767,0.69580511,0.58973295
1.95000000,-1.61534000,0.82893011,0.82694689,2.63961076
2.00000000,-1.57812444,0.82286322,0.97879584,2.01189904
2.05000000,-1.51812289,0.75289244,1.22157767,7.59874566
2.10000000,-1.45748067,0.69326322,1.32514455,8.06833694
2.15000000,-1.38408511,0.59423567,1.37850712,12.37070792
2.20000000,-1.30312133,0.43825322,1.35137892,29.86800448
2.25000000,-1.23476733,0.32753456,1.18944534,30.58697649
2.30000000,-1.18024778,0.25168644,0.96838240,27.08724761
2.35000000,-1.14210467,0.23280900,0.90340112,20.42146533
2.40000000,-1.09500244,0.19666356,0.80015077,18.05893832
2.45000000,-1.05705644,0.16946456,0.70967014,14.95019764
2.50000000,-1.02368667,0.14320789,0.64893166,10.82794587
2.55000000,-0.99364644,0.13607889,0.59400246,9.19916137
2.60000000,-0.96397467,0.12419033,0.56278211,7.51962947
2.65000000,-0.93420667,0.11958289,0.52355268,7.21129736
2.70000000,-0.90977311,0.10971456,0.49093078,5.85585568
2.75000000,-0.88571644,0.10289311,0.46279591,5.34198526
2.80000000,-0.86302489,0.09555856,0.44243175,4.45686727
2.85000000,-0.84157978,0.09256467,0.40837434,4.08902913
2.90000000,-0.82066711,0.09046733,0.38900842,3.89666199
2.95000000,-0.80258422,0.08661244,0.37993715,3.43495224
3.00000000,-0.78407844,0.08155256,0.36007402,3.06635123
3.05000000,-0.76667911,0.08035356,0.32823859,2.90873789
3.10000000,-0.75138400,0.07839278,0.32173079,2.71128062
3.15000000,-0.73344222,0.07277600,0.30316820,2.35709400
3.20000000,-0.71942911,0.07103689,0.29823886,2.16951572
3.25000000,-0.70564533,0.06736289,0.28671779,1.93272784
3.30000000,-0.69083067,0.06661911,0.26202599,1.87607407
3.35000000,-0.67758267,0.06566711,0.25090864,1.79257572
3.40000000,-0.66579822,0.06438611,0.24511163,1.69670513
3.45000000,-0.65435822,0.06417956,0.23674850,1.67822133
3.50000000,-0.64258067,0.06115533,0.22643258,1.48530186
3.55000000,-0.63034178,0.05918944,0.21962315,1.37215284
3.60000000,-0.62095067,0.05937344,0.21383459,1.36468821
3.65000000,-0.60944400,0.05889867,0.20513990,1.33240360
3.70000000,-0.59994000,0.05698767,0.19731943,1.22905516
3.75000000,-0.58988711,0.05684456,0.19043555,1.19629254
3.80000000,-0.58062667,0.05539600,0.18651336,1.12282128
3.85000000,-0.57214533,0.05507533,0.17831564,1.10335995
3.90000000,-0.56187444,0.05425200,0.17259457,1.05590362
3.95000000,-0.55413978,0.05319222,0.16732616,1.00612717
4.00000000,-0.54708089,0.05280144,0.16245099,0.98232509
