temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
0.01000000,-1.84993822,0.57202100,7.07324444,20.41989713
0.06000000,-1.85356489,0.60557722,28.85288543,29.35602211
0.11000000,-1.84595222,0.60943422,8.12292738,16.13065880
0.16000000,-1.88343756,0.81510822,0.96520260,3.59372707
0.21000000,-1.87313267,0.75641822,0.04016792,1.67993108
0.26000000,-1.86729689,0.68868444,0.32113220,1.36124638
0.31000000,-1.88934333,0.84247033,1.69543077,17.38076276
0.36000000,-1.87154889,0.70976500,0.00020454,0.23771771
0.41000000,-1.86155578,0.69986478,0.61766717,5.20003586
0.46000000,-1.87557356,0.74483367,0.37100199,1.70517273
0.51000000,-1.88191667,0.75820656,0.10347610,0.83563051
0.56000000,-1.88489844,0.77386567,0.40337628,5.01269005
0.61000000,-1.89811089,0.87626122,0.59692690,5.68337006
0.66000000,-1.88095622,0.75964922,0.36524807,3.50582951
0.71000000,-1.88943244,0.79317744,0.21230110,2.20183898
0.76000000,-1.89435689,0.85461156,0.02323247,0.39713984
0.81000000,-1.89340489,0.82538667,0.02974070,0.58328527
0.86000000,-1.87281222,0.73136489,0.05387357,1.34061125
0.91000000,-1.88968844,0.87602200,0.05528938,0.48575421
0.96000000,-1.89677156,0.89357200,0.22991111,3.80194374
1.01000000,-1.88124756,0.84533578,0.16103524,2.02134334
1.06000000,-1.86935044,0.76780733,0.19197149,3.36937163
1.11000000,-1.86884733,0.79720900,0.46386970,7.35659797
1.16000000,-1.87958244,0.85836811,0.10018109,0.51779494
1.21000000,-1.87411933,0.86994122,0.14668388,3.95301533
1.26000000,-1.85121489,0.80188667,0.14564837,1.97670436
1.31000000,-1.85311444,0.84057878,0.40114194,8.15724187
1.36000000,-1.85076378,0.85993056,0.17941592,1.66141285
1.41000000,-1.83307644,0.81447678,0.24547196,3.19143619
1.46000000,-1.83281178,0.86134122,0.32907251,4.67783631
1.51000000,-1.83816489,0.95898144,0.38772124,1.76300606
1.56000000,-1.82032844,0.93823189,0.39266956,1.88418730
1.61000000,-1.80664911,0.94223878,0.45955829,2.00347321
1.66000000,-1.78775889,0.92945367,0.52575742,3.67149327
1.71000000,-1.76590644,0.91491056,0.53714712,4.13654970
1.76000000,-1.73771067,0.89491722,0.67236852,5.47062455
1.81000000,-1.72112089,0.91279256,0.56299678,0.32708494
1.86000000,-1.68931022,0.89637278,0.64410919,0.49333312
1.91000000,-1.65468156,0.87599411,0.74783603,0.72477586
1.96000000,-1.61903444,0.85439144,0.82041088,1.04778369
2.01000000,-1.56831622,0.81090100,1.01402007,4.68330280
2.06000000,-1.52009867,0.77146289,1.10748413,3.57894538
2.11000000,-1.44514422,0.68059856,1.24049071,11.66624920
2.16000000,-1.37809578,0.58930311,1.35470444,13.05706816
2.21000000,-1.29933578,0.45406856,1.24569295,29.54468148
2.26000000,-1.22687400,0.33035944,1.09847061,39.85546707
2.31000000,-1.17389467,0.26546778,0.95192631,25.60691131
2.36000000,-1.12960533,0.22822522,0.85086061,20.40185395
2.41000000,-1.08976600,0.17650344,0.78566320,16.26916664
2.46000000,-1.04833111,0.16672444,0.69105571,13.87181019
2.51000000,-1.01713356,0.15485333,0.64989922,10.98477014
2.56000000,-0.98620200,0.13433100,0.60482240,8.85980497
2.61000000,-0.95567844,0.11399711,0.55846225,6.40532657
2.66000000,-0.92947667,0.11441189,0.52596746,6.63139835
2.71000000,-0.90535689,0.10618567,0.49270065,5.69919865
2.76000000,-0.88351622,0.10228967,0.46724617,5.22729323
2.81000000,-0.85790867,0.09595444,0.43046097,4.37371649
2.86000000,-0.83530600,0.09199578,0.40626731,3.98752934
2.91000000,-0.81820844,0.08630933,0.37879038,3.49529122
2.96000000,-0.79867089,0.08380533,0.35999989,3.24727956
3.01000000,-0.78069956,0.08139433,0.33672911,3.01424696
3.06000000,-0.76341044,0.07720022,0.33235663,2.68249869
3.11000000,-0.74693178,0.07578100,0.31968616,2.56219822
3.16000000,-0.73083978,0.07238411,0.30484128,2.29603603
3.21000000,-0.71751467,0.07216111,0.28634877,2.26161867
3.26000000,-0.70290022,0.06902078,0.27505123,2.00536053
3.31000000,-0.68927667,0.06846278,0.26435340,1.91611419
3.36000000,-0.67592111,0.06576344,0.25881804,1.79961903
3.41000000,-0.66272067,0.06498056,0.24257868,1.72228160
3.46000000,-0.65131000,0.06165189,0.23162721,1.52955067
3.51000000,-0.63933956,0.06139944,0.22661792,1.49521038
3.56000000,-0.62915844,0.06049989,0.21554222,1.41292311
3.61000000,-0.61842933,0.05919111,0.21490513,1.35564979
3.66000000,-0.60718378,0.05861589,0.20214346,1.31337142
