tc,beta,r_squared,slope,intercept,fit_points,is_valid
1.90000000,0.00605868,0.00006117,0.00605868,-0.37320607,100 ,true
1.90020000,-0.01120667,0.00032143,-0.01120667,-0.39971092,101 ,false
1.90040000,-0.01036614,0.00025501,-0.01036614,-0.39816747,101 ,false
1.90060000,-0.00977014,0.00021650,-0.00977014,-0.39708491,101 ,false
1.90080000,-0.00929477,0.00018957,-0.00929477,-0.39622633,101 ,false
1.90100000,-0.00889357,0.00016903,-0.00889357,-0.39550444,101 ,false
1.90120000,-0.00854341,0.00015254,-0.00854341,-0.39487625,101 ,false
1.90140000,-0.00823097,0.00013886,-0.00823097,-0.39431705,101 ,false
1.90160000,-0.00794774,0.00012724,-0.00794774,-0.39381122,101 ,false
1.90180000,-0.00768798,0.00011719,-0.00768798,-0.39334818,101 ,false
1.90200000,-0.00744756,0.00010839,-0.00744756,-0.39292037,101 ,false
1.90220000,-0.00722342,0.00010059,-0.00722342,-0.39252222,101 ,false
1.90240000,-0.00701325,0.00009363,-0.00701325,-0.39214947,101 ,false
1.90260000,-0.00681519,0.00008736,-0.00681519,-0.39179877,101 ,false
1.90280000,-0.00662780,0.00008169,-0.00662780,-0.39146745,101 ,false
1.90300000,-0.00644988,0.00007653,-0.00644988,-0.39115334,101 ,false
1.90320000,-0.00628043,0.00007181,-0.00628043,-0.39085463,101 ,false
1.90340000,-0.00611863,0.00006748,-0.00611863,-0.39056982,101 ,false
1.90360000,-0.00596378,0.00006350,-0.00596378,-0.39029763,101 ,false
1.90380000,-0.00581527,0.00005982,-0.00581527,-0.39003697,101 ,false
1.90400000,-0.00567259,0.00005641,-0.00567259,-0.38978688,101 ,false
1.90420000,-0.00553528,0.00005324,-0.00553528,-0.38954655,101 ,false
1.90440000,-0.00540295,0.00005030,-0.00540295,-0.38931524,101 ,false
1.90460000,-0.00527523,0.00004756,-0.00527523,-0.38909232,101 ,false
1.90480000,-0.00515183,0.00004500,-0.00515183,-0.38887722,101 ,false
1.90500000,-0.00503246,0.00004260,-0.00503246,-0.38866943,101 ,false
1.90520000,-0.01772096,0.00080910,-0.01772096,-0.40800576,102 ,false
1.90540000,-0.01742219,0.00072548,-0.01742219,-0.40733965,102 ,false
1.90560000,-0.01715685,0.00067261,-0.01715685,-0.40678439,102 ,false
1.90580000,-0.01692211,0.00063319,-0.01692211,-0.40630407,102 ,false
1.90600000,-0.01671100,0.00060147,-0.01671100,-0.40587690,102 ,false
1.90620000,-0.01651841,0.00057481,-0.01651841,-0.40548970,102 ,false
1.90640000,-0.01634078,0.00055175,-0.01634078,-0.40513394,102 ,false
1.90660000,-0.01617551,0.00053139,-0.01617551,-0.40480376,102 ,false
1.90680000,-0.01602070,0.00051316,-0.01602070,-0.40449495,102 ,false
1.90700000,-0.01587487,0.00049663,-0.01587487,-0.40420432,102 ,false
1.90720000,-0.01573687,0.00048152,-0.01573687,-0.40392945,102 ,false
1.90740000,-0.01560580,0.00046760,-0.01560580,-0.40366842,102 ,false
1.90760000,-0.01548089,0.00045471,-0.01548089,-0.40341966,102 ,false
1.90780000,-0.01536153,0.00044269,-0.01536153,-0.40318191,102 ,false
1.90800000,-0.01524720,0.00043146,-0.01524720,-0.40295410,102 ,false
1.90820000,-0.01513746,0.00042091,-0.01513746,-0.40273533,102 ,false
1.90840000,-0.01503194,0.00041096,-0.01503194,-0.40252485,102 ,false
1.90860000,-0.01493029,0.00040157,-0.01493029,-0.40232199,102 ,false
1.90880000,-0.01483225,0.00039268,-0.01483225,-0.40212617,102 ,false
1.90900000,-0.01473755,0.00038423,-0.01473755,-0.40193690,102 ,false
1.90920000,-0.01464597,0.00037620,-0.01464597,-0.40175373,102 ,false
1.90940000,-0.01455732,0.00036854,-0.01455732,-0.40157626,102 ,false
1.90960000,-0.01447141,0.00036123,-0.01447141,-0.40140415,102 ,false
1.90980000,-0.01438810,0.00035424,-0.01438810,-0.40123706,102 ,false
1.91000000,-0.01430722,0.00034755,-0.01430722,-0.40107472,102 ,false
1.91020000,-0.02388500,0.00147949,-0.02388500,-0.41555901,103 ,false
1.91040000,-0.02402108,0.00138885,-0.02402108,-0.41558186,103 ,false
1.91060000,-0.02402168,0.00132824,-0.02402168,-0.41544117,103 ,false
1.91080000,-0.02398161,0.00128132,-0.02398161,-0.41525984,103 ,false
1.91100000,-0.02392542,0.00124246,-0.02392542,-0.41506725,103 ,false
1.91120000,-0.02386229,0.00120901,-0.02386229,-0.41487339,103 ,false
1.91140000,-0.02379634,0.00117947,-0.02379634,-0.41468223,103 ,false
1.91160000,-0.02372962,0.00115292,-0.02372962,-0.41449539,103 ,false
1.91180000,-0.02366321,0.00112875,-0.02366321,-0.41431353,103 ,false
1.91200000,-0.02359772,0.00110651,-0.02359772,-0.41413683,103 ,false
1.91220000,-0.02353348,0.00108591,-0.02353348,-0.41396524,103 ,false
1.91240000,-0.02347066,0.00106668,-0.02347066,-0.41379861,103 ,false
1.91260000,-0.02340936,0.00104864,-0.02340936,-0.41363676,103 ,false
1.91280000,-0.02334961,0.00103165,-0.02334961,-0.41347947,103 ,false
1.91300000,-0.02329140,0.00101559,-0.02329140,-0.41332651,103 ,false
1.91320000,-0.02323473,0.00100034,-0.02323473,-0.41317767,103 ,false
1.91340000,-0.02317956,0.00098584,-0.02317956,-0.41303275,103 ,false
1.91360000,-0.02312585,0.00097201,-0.02312585,-0.41289156,103 ,false
1.91380000,-0.02307356,0.00095879,-0.02307356,-0.41275392,103 ,false
1.91400000,-0.02302264,0.00094613,-0.02302264,-0.41261967,103 ,false
1.91420000,-0.02297306,0.00093398,-0.02297306,-0.41248863,103 ,false
1.91440000,-0.02292476,0.00092231,-0.02292476,-0.41236067,103 ,false
1.91460000,-0.02287771,0.00091107,-0.02287771,-0.41223566,103 ,false
1.91480000,-0.02283185,0.00090025,-0.02283185,-0.41211346,103 ,false
1.91500000,-0.02278716,0.00088981,-0.02278716,-0.41199396,103 ,false
1.91520000,-0.02842072,0.00210876,-0.02842072,-0.42043179,104 ,false
1.91540000,-0.02898709,0.00203696,-0.02898709,-0.42114225,104 ,false
1.91560000,-0.02925457,0.00198467,-0.02925457,-0.42142266,104 ,false
1.91580000,-0.02941134,0.00194202,-0.02941134,-0.42154830,104 ,false
1.91600000,-0.02951253,0.00190535,-0.02951253,-0.42159844,104 ,false
1.91620000,-0.02958134,0.00187284,-0.02958134,-0.42160589,104 ,false
1.91640000,-0.02962947,0.00184344,-0.02962947,-0.42158698,104 ,false
1.91660000,-0.02966359,0.00181647,-0.02966359,-0.42155084,104 ,false
1.91680000,-0.02968779,0.00179148,-0.02968779,-0.42150302,104 ,false
1.91700000,-0.02970473,0.00176813,-0.02970473,-0.42144707,104 ,false
1.91720000,-0.02971624,0.00174619,-0.02971624,-0.42138536,104 ,false
1.91740000,-0.02972360,0.00172545,-0.02972360,-0.42131957,104 ,false
1.91760000,-0.02972776,0.00170578,-0.02972776,-0.42125086,104 ,false
1.91780000,-0.02972939,0.00168705,-0.02972939,-0.42118010,104 ,false
1.91800000,-0.02972905,0.00166916,-0.02972905,-0.42110794,104 ,false
1.91820000,-0.02972713,0.00165203,-0.02972713,-0.42103485,104 ,false
1.91840000,-0.02972396,0.00163559,-0.02972396,-0.42096122,104 ,false
1.91860000,-0.02971979,0.00161978,-0.02971979,-0.42088732,104 ,false
1.91880000,-0.02971483,0.00160456,-0.02971483,-0.42081339,104 ,false
1.91900000,-0.02970925,0.00158987,-0.02970925,-0.42073959,104 ,false
1.91920000,-0.02970318,0.00157567,-0.02970318,-0.42066607,104 ,false
1.91940000,-0.02969673,0.00156194,-0.02969673,-0.42059293,104 ,false
1.91960000,-0.02969000,0.00154865,-0.02969000,-0.42052027,104 ,false
1.91980000,-0.02968306,0.00153575,-0.02968306,-0.42044814,104 ,false
1.92000000,-0.02967598,0.00152324,-0.02967598,-0.42037660,104 ,false
1.92020000,-0.03325734,0.00290645,-0.03325734,-0.42567960,105 ,false
1.92040000,-0.03414062,0.00284547,-0.03414062,-0.42687707,105 ,false
1.92060000,-0.03460394,0.00279715,-0.03460394,-0.42745394,105 ,false
1.92080000,-0.03490577,0.00275597,-0.03490577,-0.42779626,105 ,false
1.92100000,-0.03512383,0.00271954,-0.03512383,-0.42801878,105 ,false
1.92120000,-0.03529147,0.00268656,-0.03529147,-0.42817026,105 ,false
1.92140000,-0.03542586,0.00265623,-0.03542586,-0.42827564,105 ,false
1.92160000,-0.03553695,0.00262805,-0.03553695,-0.42834918,105 ,false
1.92180000,-0.03563093,0.00260163,-0.03563093,-0.42839976,105 ,false
1.92200000,-0.03571195,0.00257670,-0.03571195,-0.42843322,105 ,false
1.92220000,-0.03578285,0.00255307,-0.03578285,-0.42845357,105 ,false
1.92240000,-0.03584570,0.00253057,-0.03584570,-0.42846368,105 ,false
1.92260000,-0.03590202,0.00250907,-0.03590202,-0.42846566,105 ,false
1.92280000,-0.03595297,0.00248846,-0.03595297,-0.42846108,105 ,false
1.92300000,-0.03599944,0.00246866,-0.03599944,-0.42845117,105 ,false
1.92320000,-0.03604214,0.00244959,-0.03604214,-0.42843688,105 ,false
1.92340000,-0.03608163,0.00243120,-0.03608163,-0.42841895,105 ,false
1.92360000,-0.03611838,0.00241342,-0.03611838,-0.42839800,105 ,false
1.92380000,-0.03615275,0.00239622,-0.03615275,-0.42837452,105 ,false
1.92400000,-0.03618506,0.00237955,-0.03618506,-0.42834891,105 ,false
1.92420000,-0.03621557,0.00236337,-0.03621557,-0.42832151,105 ,false
1.92440000,-0.03624450,0.00234766,-0.03624450,-0.42829259,105 ,false
1.92460000,-0.03627204,0.00233238,-0.03627204,-0.42826240,105 ,false
1.92480000,-0.03629835,0.00231751,-0.03629835,-0.42823112,105 ,false
1.92500000,-0.03632356,0.00230303,-0.03632356,-0.42819894,105 ,false
1.92520000,-0.03755385,0.00372995,-0.03755385,-0.42996090,106 ,false
1.92540000,-0.03875021,0.00369122,-0.03875021,-0.43163814,106 ,false
1.92560000,-0.03940706,0.00365381,-0.03940706,-0.43250751,106 ,false
1.92580000,-0.03985201,0.00361913,-0.03985201,-0.43306341,106 ,false
1.92600000,-0.04018509,0.00358689,-0.04018509,-0.43345554,106 ,false
1.92620000,-0.04044975,0.00355668,-0.04044975,-0.43374849,106 ,false
1.92640000,-0.04066863,0.00352821,-0.04066863,-0.43397570,106 ,false
1.92660000,-0.04085493,0.00350121,-0.04085493,-0.43415658,106 ,false
1.92680000,-0.04101700,0.00347550,-0.04101700,-0.43430332,106 ,false
1.92700000,-0.04116041,0.00345091,-0.04116041,-0.43442404,106 ,false
1.92720000,-0.04128906,0.00342733,-0.04128906,-0.43452438,106 ,false
1.92740000,-0.04140580,0.00340465,-0.04140580,-0.43460843,106 ,false
1.92760000,-0.04151274,0.00338279,-0.04151274,-0.43467922,106 ,false
1.92780000,-0.04161149,0.00336166,-0.04161149,-0.43473904,106 ,false
1.92800000,-0.04170331,0.00334122,-0.04170331,-0.43478969,106 ,false
1.92820000,-0.04178921,0.00332141,-0.04178921,-0.43483258,106 ,false
1.92840000,-0.04187000,0.00330219,-0.04187000,-0.43486884,106 ,false
1.92860000,-0.04194633,0.00328350,-0.04194633,-0.43489941,106 ,false
1.92880000,-0.04201875,0.00326532,-0.04201875,-0.43492503,106 ,false
1.92900000,-0.04208772,0.00324762,-0.04208772,-0.43494634,106 ,false
1.92920000,-0.04215362,0.00323037,-0.04215362,-0.43496386,106 ,false
1.92940000,-0.04221678,0.00321354,-0.04221678,-0.43497805,106 ,false
1.92960000,-0.04227747,0.00319710,-0.04227747,-0.43498929,106 ,false
1.92980000,-0.04233596,0.00318105,-0.04233596,-0.43499789,106 ,false
1.93000000,-0.04239243,0.00316535,-0.04239243,-0.43500416,106 ,false
1.93020000,-0.04080509,0.00443267,-0.04080509,-0.43257971,107 ,false
1.93040000,-0.04230818,0.00443112,-0.04230818,-0.43472959,107 ,false
1.93060000,-0.04315695,0.00441433,-0.04315695,-0.43589154,107 ,false
1.93080000,-0.04374472,0.00439350,-0.04374472,-0.43666300,107 ,false
1.93100000,-0.04419299,0.00437140,-0.04419299,-0.43722732,107 ,false
1.93120000,-0.04455503,0.00434903,-0.04455503,-0.43766450,107 ,false
1.93140000,-0.04485880,0.00432681,-0.04485880,-0.43801633,107 ,false
1.93160000,-0.04512073,0.00430492,-0.04512073,-0.43830726,107 ,false
1.93180000,-0.04535125,0.00428344,-0.04535125,-0.43855279,107 ,false
1.93200000,-0.04555741,0.00426242,-0.04555741,-0.43876330,107 ,false
1.93220000,-0.04574413,0.00424185,-0.04574413,-0.43894608,107 ,false
1.93240000,-0.04591504,0.00422174,-0.04591504,-0.43910641,107 ,false
1.93260000,-0.04607282,0.00420207,-0.04607282,-0.43924826,107 ,false
1.93280000,-0.04621957,0.00418283,-0.04621957,-0.43937465,107 ,false
1.93300000,-0.04635692,0.00416402,-0.04635692,-0.43948796,107 ,false
1.93320000,-0.04648615,0.00414559,-0.04648615,-0.43959006,107 ,false
1.93340000,-0.04660834,0.00412756,-0.04660834,-0.43968248,107 ,false
1.93360000,-0.04672433,0.00410989,-0.04672433,-0.43976647,107 ,false
1.93380000,-0.04683486,0.00409257,-0.04683486,-0.43984304,107 ,false
1.93400000,-0.04694053,0.00407560,-0.04694053,-0.43991308,107 ,false
1.93420000,-0.04704184,0.00405894,-0.04704184,-0.43997729,107 ,false
1.93440000,-0.04713923,0.00404260,-0.04713923,-0.44003631,107 ,false
1.93460000,-0.04723307,0.00402656,-0.04723307,-0.44009065,107 ,false
1.93480000,-0.04732370,0.00401081,-0.04732370,-0.44014079,107 ,false
1.93500000,-0.04741140,0.00399533,-0.04741140,-0.44018712,107 ,false
1.93520000,-0.04445774,0.00529560,-0.04445774,-0.43576321,108 ,false
1.93540000,-0.04618500,0.00531679,-0.04618500,-0.43824096,108 ,false
1.93560000,-0.04717327,0.00531200,-0.04717327,-0.43960426,108 ,false
1.93580000,-0.04786526,0.00529896,-0.04786526,-0.44052441,108 ,false
1.93600000,-0.04839824,0.00528243,-0.04839824,-0.44120828,108 ,false
1.93620000,-0.04883253,0.00526426,-0.04883253,-0.44174641,108 ,false
1.93640000,-0.04919989,0.00524532,-0.04919989,-0.44218624,108 ,false
1.93660000,-0.04951900,0.00522604,-0.04951900,-0.44255561,108 ,false
1.93680000,-0.04980179,0.00520669,-0.04980179,-0.44287218,108 ,false
1.93700000,-0.05005627,0.00518740,-0.05005627,-0.44314785,108 ,false
1.93720000,-0.05028811,0.00516826,-0.05028811,-0.44339095,108 ,false
1.93740000,-0.05050145,0.00514933,-0.05050145,-0.44360758,108 ,false
1.93760000,-0.05069938,0.00513063,-0.05069938,-0.44380228,108 ,false
1.93780000,-0.05088431,0.00511219,-0.05088431,-0.44397856,108 ,false
1.93800000,-0.05105812,0.00509402,-0.05105812,-0.44413916,108 ,false
1.93820000,-0.05122230,0.00507612,-0.05122230,-0.44428626,108 ,false
1.93840000,-0.05137808,0.00505849,-0.05137808,-0.44442165,108 ,false
1.93860000,-0.05152647,0.00504112,-0.05152647,-0.44454676,108 ,false
1.93880000,-0.05166829,0.00502402,-0.05166829,-0.44466280,108 ,false
1.93900000,-0.05180425,0.00500719,-0.05180425,-0.44477079,108 ,false
1.93920000,-0.05193495,0.00499060,-0.05193495,-0.44487157,108 ,false
1.93940000,-0.05206089,0.00497427,-0.05206089,-0.44496588,108 ,false
1.93960000,-0.05218252,0.00495817,-0.05218252,-0.44505435,108 ,false
1.93980000,-0.05230021,0.00494232,-0.05230021,-0.44513751,108 ,false
1.94000000,-0.05241430,0.00492670,-0.05241430,-0.44521585,108 ,false
1.94020000,-0.04729546,0.00603197,-0.04729546,-0.43764948,109 ,false
1.94040000,-0.04926797,0.00609217,-0.04926797,-0.44049274,109 ,false
1.94060000,-0.05040965,0.00610952,-0.05040965,-0.44208234,109 ,false
1.94080000,-0.05121598,0.00611168,-0.05121598,-0.44316954,109 ,false
1.94100000,-0.05184141,0.00610657,-0.05184141,-0.44398725,109 ,false
1.94120000,-0.05235408,0.00609744,-0.05235408,-0.44463782,109 ,false
1.94140000,-0.05278997,0.00608588,-0.05278997,-0.44517514,109 ,false
1.94160000,-0.05317033,0.00607281,-0.05317033,-0.44563090,109 ,false
1.94180000,-0.05350873,0.00605875,-0.05350873,-0.44602530,109 ,false
1.94200000,-0.05381435,0.00604405,-0.05381435,-0.44637196,109 ,false
1.94220000,-0.05409366,0.00602893,-0.05409366,-0.44668047,109 ,false
1.94240000,-0.05435142,0.00601354,-0.05435142,-0.44695783,109 ,false
1.94260000,-0.05459118,0.00599799,-0.05459118,-0.44720932,109 ,false
1.94280000,-0.05481571,0.00598237,-0.05481571,-0.44743898,109 ,false
1.94300000,-0.05502719,0.00596673,-0.05502719,-0.44764999,109 ,false
1.94320000,-0.05522733,0.00595111,-0.05522733,-0.44784490,109 ,false
1.94340000,-0.05541757,0.00593554,-0.05541757,-0.44802577,109 ,false
1.94360000,-0.05559906,0.00592005,-0.05559906,-0.44819430,109 ,false
1.94380000,-0.05577277,0.00590465,-0.05577277,-0.44835189,109 ,false
1.94400000,-0.05593951,0.00588937,-0.05593951,-0.44849974,109 ,false
1.94420000,-0.05609999,0.00587420,-0.05609999,-0.44863883,109 ,false
1.94440000,-0.05625479,0.00585915,-0.05625479,-0.44877004,109 ,false
1.94460000,-0.05640444,0.00584424,-0.05640444,-0.44889411,109 ,false
1.94480000,-0.05654937,0.00582946,-0.05654937,-0.44901167,109 ,false
1.94500000,-0.05668997,0.00581482,-0.05668997,-0.44912328,109 ,false
1.94520000,0.00200851,0.00001083,0.00200851,-0.36379907,110 ,true
1.94540000,-0.00188075,0.00000884,-0.00188075,-0.37015507,110 ,false
1.94560000,-0.00434341,0.00004517,-0.00434341,-0.37414513,110 ,false
1.94580000,-0.00616515,0.00008821,-0.00616515,-0.37707702,110 ,false
1.94600000,-0.00761586,0.00013130,-0.00761586,-0.37939784,110 ,false
1.94620000,-0.00882279,0.00017254,-0.00882279,-0.38131788,110 ,false
1.94640000,-0.00985668,0.00021143,-0.00985668,-0.38295381,110 ,false
1.94660000,-0.01076111,0.00024791,-0.01076111,-0.38437739,110 ,false
1.94680000,-0.01156494,0.00028209,-0.01156494,-0.38563610,110 ,false
1.94700000,-0.01228828,0.00031413,-0.01228828,-0.38676297,110 ,false
1.94720000,-0.01294573,0.00034422,-0.01294573,-0.38778201,110 ,false
1.94740000,-0.01354823,0.00037251,-0.01354823,-0.38871118,110 ,false
1.94760000,-0.01410421,0.00039916,-0.01410421,-0.38956429,110 ,false
1.94780000,-0.01462029,0.00042432,-0.01462029,-0.39035220,110 ,false
1.94800000,-0.01510177,0.00044811,-0.01510177,-0.39108361,110 ,false
1.94820000,-0.01555297,0.00047064,-0.01555297,-0.39176559,110 ,false
1.94840000,-0.01597744,0.00049201,-0.01597744,-0.39240395,110 ,false
1.94860000,-0.01637815,0.00051232,-0.01637815,-0.39300355,110 ,false
1.94880000,-0.01675760,0.00053164,-0.01675760,-0.39356850,110 ,false
1.94900000,-0.01711791,0.00055004,-0.01711791,-0.39410226,110 ,false
1.94920000,-0.01746092,0.00056760,-0.01746092,-0.39460784,110 ,false
1.94940000,-0.01778819,0.00058436,-0.01778819,-0.39508780,110 ,false
1.94960000,-0.01810111,0.00060039,-0.01810111,-0.39554439,110 ,false
1.94980000,-0.01840087,0.00061573,-0.01840087,-0.39597958,110 ,false
1.95000000,-0.01868854,0.00063043,-0.01868854,-0.39639510,110 ,false
1.95020000,-0.02533343,0.00173318,-0.02533343,-0.40598320,111 ,false
1.95040000,-0.02592457,0.00169077,-0.02592457,-0.40673572,111 ,false
1.95060000,-0.02630768,0.00166877,-0.02630768,-0.40721190,111 ,false
1.95080000,-0.02661497,0.00165585,-0.02661497,-0.40759059,111 ,false
1.95100000,-0.02688344,0.00164804,-0.02688344,-0.40792034,111 ,false
1.95120000,-0.02712810,0.00164344,-0.02712810,-0.40822036,111 ,false
1.95140000,-0.02735638,0.00164099,-0.02735638,-0.40849987,111 ,false
1.95160000,-0.02757240,0.00164004,-0.02757240,-0.40876396,111 ,false
1.95180000,-0.02777871,0.00164018,-0.02777871,-0.40901567,111 ,false
1.95200000,-0.02797698,0.00164112,-0.02797698,-0.40925698,111 ,false
1.95220000,-0.02816837,0.00164264,-0.02816837,-0.40948926,111 ,false
1.95240000,-0.02835372,0.00164461,-0.02835372,-0.40971349,111 ,false
1.95260000,-0.02853369,0.00164691,-0.02853369,-0.40993045,111 ,false
1.95280000,-0.02870876,0.00164946,-0.02870876,-0.41014071,111 ,false
1.95300000,-0.02887936,0.00165218,-0.02887936,-0.41034478,111 ,false
1.95320000,-0.02904581,0.00165504,-0.02904581,-0.41054305,111 ,false
1.95340000,-0.02920841,0.00165799,-0.02920841,-0.41073588,111 ,false
1.95360000,-0.02936739,0.00166099,-0.02936739,-0.41092358,111 ,false
1.95380000,-0.02952297,0.00166403,-0.02952297,-0.41110640,111 ,false
1.95400000,-0.02967534,0.00166708,-0.02967534,-0.41128459,111 ,false
1.95420000,-0.02982467,0.00167012,-0.02982467,-0.41145838,111 ,false
1.95440000,-0.02997111,0.00167315,-0.02997111,-0.41162795,111 ,false
1.95460000,-0.03011480,0.00167615,-0.03011480,-0.41179350,111 ,false
1.95480000,-0.03025586,0.00167912,-0.03025586,-0.41195518,111 ,false
1.95500000,-0.03039441,0.00168205,-0.03039441,-0.41211317,111 ,false
1.95520000,-0.03237020,0.00284775,-0.03237020,-0.41490640,112 ,false
1.95540000,-0.03338693,0.00282330,-0.03338693,-0.41628443,112 ,false
1.95560000,-0.03398087,0.00280386,-0.03398087,-0.41705618,112 ,false
1.95580000,-0.03441052,0.00278800,-0.03441052,-0.41759535,112 ,false
1.95600000,-0.03475390,0.00277468,-0.03475390,-0.41801364,112 ,false
1.95620000,-0.03504460,0.00276324,-0.03504460,-0.41835876,112 ,false
1.95640000,-0.03529998,0.00275326,-0.03529998,-0.41865519,112 ,false
1.95660000,-0.03553011,0.00274443,-0.03553011,-0.41891704,112 ,false
1.95680000,-0.03574131,0.00273653,-0.03574131,-0.41915311,112 ,false
1.95700000,-0.03593778,0.00272940,-0.03593778,-0.41936922,112 ,false
1.95720000,-0.03612246,0.00272291,-0.03612246,-0.41956943,112 ,false
1.95740000,-0.03629746,0.00271698,-0.03629746,-0.41975662,112 ,false
1.95760000,-0.03646437,0.00271151,-0.03646437,-0.41993295,112 ,false
1.95780000,-0.03662439,0.00270644,-0.03662439,-0.42010007,112 ,false
1.95800000,-0.03677846,0.00270173,-0.03677846,-0.42025924,112 ,false
1.95820000,-0.03692732,0.00269732,-0.03692732,-0.42041146,112 ,false
1.95840000,-0.03707159,0.00269319,-0.03707159,-0.42055755,112 ,false
1.95860000,-0.03721175,0.00268929,-0.03721175,-0.42069818,112 ,false
1.95880000,-0.03734822,0.00268561,-0.03734822,-0.42083388,112 ,false
1.95900000,-0.03748133,0.00268212,-0.03748133,-0.42096511,112 ,false
1.95920000,-0.03761139,0.00267880,-0.03761139,-0.42109226,112 ,false
1.95940000,-0.03773864,0.00267563,-0.03773864,-0.42121567,112 ,false
